,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
242,-0.0072009633,-0.23363952,-0.31764945,0.00741295,0.15914643,0.10979214,0.19380425,-0.20101182,-0.054059517,-0.19394791,0.19305381,0.1015673,0.1321543,-0.19863528,0.20498577,-0.09654368,0.032503642,0.1898899,-0.06899596,-0.025219122,-0.2044218,0.018311001,-0.060361546,-0.08098864,0.012310904,0.2135861,-0.166166,-0.114834316,-0.56667626,-0.123672076,-0.10347726,-0.0643589
760,0.0020843435,-0.24412271,-0.3077806,0.014512685,0.14563215,0.09999046,0.1982649,-0.20845044,-0.032764703,-0.19547561,0.19512072,0.09673982,0.1139656,-0.20050253,0.20772521,-0.107290156,0.046131685,0.19157016,-0.07564866,-0.00439089,-0.21149197,0.025877347,-0.044818792,-0.08503268,-0.00030025726,0.21796934,-0.17669185,-0.11458956,-0.5573251,-0.12872985,-0.11616073,-0.07199359
638,-0.0084407795,-0.2392135,-0.31097388,0.0025525398,0.15454043,0.10410087,0.19673465,-0.2043603,-0.045304887,-0.19122846,0.19352438,0.09994042,0.121792465,-0.20108564,0.20912357,-0.10393512,0.034146473,0.18964154,-0.06918111,-0.019580051,-0.20601913,0.020268368,-0.054144286,-0.08530774,0.009262841,0.21147723,-0.17392941,-0.11798235,-0.5639585,-0.12600133,-0.11006784,-0.06752155
510,-0.004229601,-0.24877423,-0.29558656,0.002522841,0.14508662,0.09814381,0.20334804,-0.20982204,-0.02668972,-0.18995346,0.1942793,0.094127215,0.10912558,-0.20522127,0.21700476,-0.10780568,0.040560666,0.19113508,-0.076694526,-0.009443674,-0.21209,0.025383996,-0.045822497,-0.08914569,-0.0014185659,0.2110141,-0.17787845,-0.11920707,-0.5585327,-0.12980816,-0.11644037,-0.077148125
759,0.015848018,-0.24861681,-0.29499194,0.024791518,0.13721092,0.09006531,0.20592816,-0.21215822,-0.017495561,-0.19005892,0.19255757,0.087583795,0.09625475,-0.20637952,0.21641889,-0.11506991,0.056933194,0.18707424,-0.084352374,0.00496456,-0.2173276,0.03778409,-0.03457087,-0.09225665,-0.014475293,0.21861342,-0.18009837,-0.11642472,-0.5517859,-0.13656315,-0.12193819,-0.08433839
679,0.014943895,-0.24808559,-0.30351055,0.02372182,0.14379656,0.09812993,0.20390826,-0.20472394,-0.024689557,-0.19104119,0.19698547,0.09281038,0.10569064,-0.2028117,0.21524447,-0.10531102,0.055562597,0.18539011,-0.080996126,-0.0056017614,-0.20989254,0.03303554,-0.04185493,-0.0852397,-0.008804425,0.22461338,-0.17286831,-0.11283284,-0.55532753,-0.1275049,-0.11983322,-0.084513515
400,-0.010774316,-0.23744293,-0.31381983,0.0016990025,0.15479119,0.10645961,0.19544818,-0.20506316,-0.04908581,-0.19545393,0.1909415,0.10164873,0.12658025,-0.19933727,0.20478411,-0.10158257,0.03089296,0.19097526,-0.0669104,-0.018919192,-0.20576788,0.017383303,-0.057925317,-0.08382932,0.011394421,0.21192297,-0.17152135,-0.116482235,-0.5663514,-0.12350445,-0.10479759,-0.06126275
468,-0.005974497,-0.24094972,-0.30622047,0.0029582733,0.15366666,0.10356454,0.19934584,-0.20507321,-0.04156088,-0.19230273,0.19300827,0.09795278,0.12028719,-0.20164958,0.21261175,-0.10288381,0.033762585,0.18855903,-0.07132558,-0.01846885,-0.207198,0.021251364,-0.055505846,-0.08789004,0.0062525542,0.21259029,-0.17296292,-0.118423596,-0.5638332,-0.1250729,-0.10800956,-0.06941001
661,-0.00321323,-0.24108942,-0.30019486,0.0037533988,0.15048896,0.10091423,0.19877547,-0.20759282,-0.038721547,-0.18991882,0.1945281,0.09448691,0.11649926,-0.20338151,0.21460797,-0.10479983,0.038587246,0.19235389,-0.07651909,-0.018791433,-0.21024574,0.024238955,-0.048808515,-0.08859495,0.0056318124,0.21195707,-0.17464925,-0.1202854,-0.5613232,-0.13083917,-0.11267701,-0.07374031
189,-0.004000099,-0.23799494,-0.31152052,0.008253691,0.15347734,0.106083915,0.19673046,-0.20394658,-0.04493473,-0.19410266,0.19324595,0.09962268,0.12380607,-0.20027451,0.2081221,-0.1006765,0.03637311,0.19012542,-0.07183347,-0.019081995,-0.20642234,0.021517757,-0.05415568,-0.083956644,0.007256126,0.21415232,-0.17064603,-0.116302766,-0.56426096,-0.1258951,-0.1082615,-0.06856098
691,-0.008034296,-0.23492992,-0.31410944,0.003189221,0.15744865,0.107234195,0.19520566,-0.20302004,-0.05240474,-0.19452949,0.19286716,0.101423874,0.12850572,-0.19855773,0.20674841,-0.09949989,0.031979777,0.18962248,-0.06871038,-0.023543067,-0.20314871,0.018083792,-0.058560062,-0.0836968,0.013131839,0.2127364,-0.17002319,-0.11558166,-0.5668523,-0.12401331,-0.10449924,-0.06478721
427,-0.011531487,-0.23438774,-0.31371588,-0.000105238025,0.15871932,0.10857762,0.19506828,-0.20258747,-0.054268334,-0.1933375,0.19147244,0.10202767,0.12966788,-0.19916496,0.20651081,-0.098662555,0.028553687,0.18953872,-0.066740915,-0.026126884,-0.20291844,0.015926233,-0.061754726,-0.08388245,0.014178318,0.21046367,-0.16942514,-0.11655811,-0.5689399,-0.12344971,-0.10185458,-0.062691085
387,0.014753403,-0.23450367,-0.32374933,0.030558964,0.15300679,0.09997554,0.19916752,-0.20394439,-0.050984573,-0.19689578,0.19189517,0.098554514,0.121639416,-0.19823731,0.19949418,-0.102262646,0.050668914,0.18339561,-0.07472167,-0.0070245937,-0.20429167,0.029144168,-0.05304832,-0.082147054,0.0031556613,0.22675462,-0.16815196,-0.107533455,-0.5607926,-0.12695713,-0.107713394,-0.06831096
314,0.0017470839,-0.24946323,-0.30149347,0.013880979,0.14236087,0.1021856,0.19859579,-0.20956431,-0.023728194,-0.19283858,0.19841021,0.09612322,0.1087264,-0.20230006,0.21345669,-0.10664068,0.045892265,0.19112924,-0.07553491,-0.0048951018,-0.21264388,0.02902585,-0.04115104,-0.086507365,-0.0059947227,0.21825749,-0.17724466,-0.11693608,-0.5551599,-0.12724066,-0.11779633,-0.07704333
329,-0.0015079632,-0.24462014,-0.3079858,0.011018424,0.147185,0.103681765,0.1967357,-0.20702195,-0.03362373,-0.19455129,0.19624887,0.0983318,0.11615771,-0.20079206,0.20985255,-0.104821876,0.04218646,0.19084296,-0.0727398,-0.010223737,-0.20990208,0.024418099,-0.04703415,-0.08453197,0.0008910245,0.21745983,-0.17525055,-0.116002195,-0.55876106,-0.12518102,-0.11453706,-0.07166046
467,0.0027523565,-0.24103321,-0.309899,0.0141122155,0.1520326,0.10057083,0.20109545,-0.20613043,-0.040555827,-0.1958681,0.1944748,0.09734146,0.119952485,-0.20038113,0.21078026,-0.102284975,0.041783273,0.18615326,-0.07434197,-0.012394967,-0.20532271,0.023417536,-0.054338135,-0.08677118,0.0032702552,0.2197996,-0.17125425,-0.11393515,-0.5606182,-0.12541722,-0.108069755,-0.07186541
