feature,info,r2,quality
vascular_invasion_V,0.002927660393337142,,LOM
rfs_event,0.0009326252370587962,,LOM
ohe_resection_status_3.0,0.0024245268378064394,,LOM
ohe_resection_status_2.0,0.0014568890096694652,,LOM
ohe_resection_status_1.0,0.0021945602097987542,,LOM
ohe_resection_status_carcinoma_in_situ_2.0,0.0020361679703378064,,LOM
carcinoma_in_situ,0.0012756770738633347,,LOM
survival_status,0.0028137874032016967,,LOM
ohe_resection_status_carcinoma_in_situ_1.0,0.0026204457039614827,,LOM
ohe_resection_status_carcinoma_in_situ_0.0,0.0014520281108640106,,LOM
lymphovascular_invasion_L,,1.0,LOM
sex,0.0012588162165525331,,LOM
age_at_initial_diagnosis,0.03650792287242324,0.8879582986124087,LOM
primarily_metastasis,0.0013857398288492464,,LOM
cd8_inv,,0.00042766559589282654,LOM
c052,,,LOM
c323,,,LOM
r599,,,LOM
cd8_z,,0.19583897877014791,LOM
c139,,0.2969547386400113,LOM
c131,,,LOM
c091,,,LOM
c111,,,LOM
ohe_c320_2.0,,,LOM
c100,,,LOM
ohe_c021_2.0,,,LOM
ohe_c021_1.0,,0.1265610964463926,LOM
ohe_c021_0.0,,0.004033830895174297,LOM
ohe_c320_0.0,,0.037177800856695815,LOM
d000,,,LOM
ohe_c320_1.0,,4.026331990469724e-05,LOM
c029,,,LOM
c099,,,LOM
c090,,,LOM
c770,,0.01609723167096223,LOM
c132,,,LOM
ohe_c321_2.0,,,LOM
ohe_c321_1.0,,0.030260851528050303,LOM
ohe_c321_0.0,,0.13200407412557616,LOM
ohe_c068_2.0,,,LOM
ohe_c068_1.0,,,LOM
ohe_c068_0.0,,,LOM
ohe_c108_0.0,,0.07444812374102829,LOM
ohe_c108_1.0,,0.173490027930714,LOM
ohe_c108_2.0,,,LOM
d380,,,LOM
c778,,,LOM
c020,,0.001231772491815074,LOM
ohe_c138_0.0,,0.05368346427964402,LOM
ohe_c138_1.0,,0.06701734819254755,LOM
ohe_c138_2.0,,,LOM
c048,,,LOM
c148,,,LOM
c800,,,LOM
c051,,0.022653186044671182,LOM
c322,,,LOM
c028,,,LOM
c109,,,LOM
r590,,,LOM
t810,,,LOM
c329,,,LOM
ohe_c102_3.0,,,LOM
c130,,,LOM
ohe_c102_2.0,,,LOM
ohe_c102_0.0,,,LOM
c328,,,LOM
ohe_c102_1.0,,,LOM
c058,,,LOM
d370,,,LOM
c098,,,LOM
c022,,,LOM
Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume],,0.26513372414696473,LOM
Granulocytes [#/volume] in Blood,,0.05504828234708074,LOM
Hemoglobin [Mass/volume] in Blood,,0.0218808307266098,LOM
Basophils [#/volume] in Blood,,0.06740724066740726,LOM
Erythrocyte mean corpuscular hemoglobin [Entitic mass],,0.09408038254114474,LOM
cd3_inv,0.04799264156762177,,LOM
Monocytes [#/volume] in Blood,,0.09531081027281345,LOM
Platelets [#/volume] in Blood,,0.004226493223220581,LOQ
Leukocytes [#/volume] in Blood,,0.03799493561275213,LOQ
Eosinophils [#/volume] in Blood,,0.1359008597186835,LOQ
Erythrocytes [#/volume] in Blood,,0.02524782311801994,LOQ
Erythrocyte distribution width [Ratio],,0.014572237258809915,LOQ
Platelet distribution width [Entitic volume] in Blood by Automated count,,0.012369044829032678,LOQ
Platelet mean volume [Entitic volume] in Blood,,0.02416635393100811,LOQ
Erythrocyte mean corpuscular volume [Entitic volume],,0.03783897652322655,LOQ
cd3_z,,0.02822059911242775,LOQ
Hematocrit [Volume Fraction] of Blood,,0.1462337520537138,LOQ
Lymphocytes [#/volume] in Blood,,0.1673391713349309,LOQ
infiltration_depth_in_mm,0.058334184629975784,0.24023045008783234,LOV
number_of_positive_lymph_nodes,,0.007165992153342327,LOQ
perinodal_invasion,,0.08175926450138796,LOQ
days_to_recurrence,,,LOQ
