,tSNE_1,tSNE_2,cluster_id,imp_mean,cosine_sim
pH,0.16549127,1.4264499,2,0.8,0.23079872809672156
pH,0.16549127,1.4264499,2,0.8,0.16403762334223732
Specific Gravity,-1.2117977,1.1768441,0,0.52,0.3488173549058253
Methotrexate,1.6439967,-2.2272267,1,3.49,-0.1400508543676316
"Osmolality, Urine",0.8482259,0.51320845,2,0.12,0.051984564040525864
"Sodium, Urine",1.4170365,3.001011,4,0.12,0.3711862550677369
Lactate,1.5717698,0.18953116,4,0.09,0.016349199925556997
Globulin,2.466728,1.3880812,5,1.41,0.2416856195394665
"Protein, Total",-1.5113102,2.4924967,0,0.72,0.1010108855064383
C-Reactive Protein,0.71080524,-4.557356,1,0.41,-0.13876418696044274
"Bilirubin, Direct",0.9528678,-3.3714542,1,0.02,-0.24886768325088782
"Bilirubin, Indirect",0.120513655,-2.8861432,5,0.41,-0.07956088505580101
Free Calcium,2.1515071,-4.4439244,1,0.05,-0.36101736491820663
"Fibrinogen, Functional",-0.027271278,0.34410882,2,0.24,-0.06511800149620126
NTproBNP,1.2156416,-3.8725524,1,0.09,-0.3000835681035384
Epithelial Cells,0.84120804,-2.1854045,1,0.12,-0.16741700506228896
Hyaline Casts,0.8554394,-4.099607,1,0.07,-0.4243436255903076
Protein,1.5604466,-1.2276558,3,0.27,-0.1148557706380078
RBC,1.2602569,-1.5328994,3,0.32,-0.22848597579208751
WBC,0.7040016,-2.13134,1,0.07,-0.14797552999195362
"Creatine Kinase, MB Isoenzyme",-0.23962428,-2.5391634,1,0.07,0.09020508526622363
Thyroid Stimulating Hormone,-0.081751645,-0.93706995,4,0.09,0.12223400634451506
"Creatinine, Urine",2.3221264,-2.5591178,1,0.07,-0.36499428041754306
Blasts,2.5974557,-0.7702128,3,0.13,-0.1966788134593678
Promyelocytes,3.2571526,-3.7152612,1,0.09,-0.33016797710195683
Ferritin,0.4418123,0.270134,3,0.09,0.20951355498751373
Iron,-2.031857,-1.3333054,4,0.03,0.2169139850169427
"Iron Binding Capacity, Total",0.7156645,-0.24605782,2,0.04,-0.06009067897562978
Transferrin,0.48173827,-1.2898395,3,0.03,-0.20185197827276397
HPE1,2.2380319,-1.7082261,3,0.13,-0.1882945898058944
HPE3,-2.3079255,3.188229,0,0.08,0.1087505055355687
HPE7,3.7900262,-1.6128821,1,0.08,-0.5400499032744621
Urobilinogen,0.6668566,-0.5580689,4,0.05,-0.09827600017636234
Ketone,-3.5110664,2.0389616,0,0.68,0.39993671231112826
"Urea Nitrogen, Urine",-0.21273343,-1.4831624,4,0.03,0.0023047876707966014
Other Cells,3.6655982,-1.2900732,3,0.03,-0.2224518959607926
Haptoglobin,2.8533905,-2.988859,1,0.1,-0.23519207291412383
Glucose,0.7456224,1.6852815,2,2.87,0.30072261269382816
Glucose,0.7456224,1.6852815,2,2.87,0.26409810582216564
Creatine Kinase (CK),2.1109257,-3.5992682,1,0.25,-0.3215516931122754
Vitamin B12,1.5077436,3.2863827,4,0.09,0.21376056192315906
Immunoglobulin G,0.60986584,-3.5044172,1,0.41,-0.09216147773663358
"Potassium, Urine",3.073871,-2.8288717,1,0.02,-0.44225271425054635
Triglycerides,2.3982701,-4.545022,1,0.18,-0.121396376539149
ARCH-1,1.9143124,-1.0166574,3,0.29,0.03608861959116824
label_nf,-0.60094607,-3.3081315,5,,-0.20887227557996002
label_aplasia,-2.6459215,0.698369,0,,1.0000000000000002
