dataset,mode,split,dim,run,optimal_epochs,max_epochs,seconds
luad,numeric_only,4,64,0,10000,10000,246.2
luad,numeric_only,4,64,1,10000,10000,246.3
luad,numeric_only,4,64,2,10000,10000,246.8
luad,numeric_only,4,64,3,10000,10000,245.8
luad,numeric_only,4,64,4,10000,10000,246.2
luad,numeric_only,5,64,0,10000,10000,250.1
luad,numeric_only,5,64,1,10000,10000,248.8
luad,numeric_only,5,64,2,10000,10000,255.3
luad,numeric_only,5,64,3,4880,10000,123.0
luad,numeric_only,5,64,4,10000,10000,247.9
luad,numeric_only,6,64,0,10000,10000,251.0
luad,numeric_only,6,64,1,10000,10000,245.7
luad,numeric_only,6,64,2,10000,10000,246.0
luad,numeric_only,6,64,3,10000,10000,246.0
luad,numeric_only,6,64,4,10000,10000,245.9
luad,numeric_only,7,64,0,10000,10000,246.1
luad,numeric_only,7,64,1,10000,10000,246.1
luad,numeric_only,7,64,2,10000,10000,246.2
luad,numeric_only,7,64,3,10000,10000,246.3
luad,numeric_only,7,64,4,10000,10000,245.7
luad,numeric_only,8,64,0,10000,10000,245.3
luad,numeric_only,8,64,1,10000,10000,245.1
luad,numeric_only,8,64,2,10000,10000,246.0
luad,numeric_only,8,64,3,7420,10000,183.3
luad,numeric_only,8,64,4,10000,10000,245.9
luad,numeric_only,9,64,0,10000,10000,246.3
luad,numeric_only,9,64,1,10000,10000,245.8
luad,numeric_only,9,64,2,10000,10000,246.6
luad,numeric_only,9,64,3,10000,10000,246.4
luad,numeric_only,9,64,4,10000,10000,246.3
