,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-69-7763-01,0.35178417,-0.4594292,-0.2592235,-0.04799348,-0.32082346,0.30764335,-0.061584078,0.13363451,-0.04133265,-0.083610594,0.112613484,0.18564402,0.2209124,0.18125863,-0.18127505,0.4539684
TCGA-67-3771-01,-0.15299752,-0.38097262,-0.0256582,-0.11515509,-0.3273521,0.4477738,-0.3343666,0.2319106,-0.1588859,-0.41153178,0.19445129,0.019815423,0.05982714,0.08984257,0.024578013,0.31500173
TCGA-86-A4P8-01,0.21046335,-0.21891521,0.27958137,0.43272564,-0.27709877,0.19504263,-0.28072804,0.44666722,0.21787733,-0.0049918233,-0.29590714,0.025294358,0.09065029,0.12828557,-0.29514298,0.041697655
TCGA-55-8097-01,0.17615373,-0.41467112,0.0869816,0.23162565,-0.33566257,0.29440817,-0.107989855,0.33844635,0.15551993,-0.29757342,-0.17983557,0.23665473,0.11230733,0.21340744,-0.26107523,0.28783605
TCGA-78-7537-01,0.35823187,-0.36644825,0.054091714,0.3063145,-0.32235903,0.20141532,-0.06835721,0.31590685,0.19296002,-0.061395835,-0.26463,0.23569803,0.18597907,0.2140142,-0.28462476,0.25237006
TCGA-75-6203-01,0.15098345,-0.1558556,0.24756332,0.0448614,-0.06592103,0.32106566,-0.14371188,0.3063629,0.180439,0.04042911,-0.47712535,0.47503984,0.2521,-0.028386677,0.23112895,0.2497756
TCGA-78-7154-01,0.41224098,-0.42952016,-0.2594622,-0.056838363,-0.27369404,0.27345034,0.034116544,0.08423224,-0.008992769,0.02561845,0.006966305,0.26935858,0.30808118,0.1611161,-0.12332292,0.45569223
TCGA-35-5375-01,0.23601869,-0.4401812,-0.25038722,-0.13075644,-0.28397113,0.36976776,-0.07186121,0.15901554,-0.053117227,-0.17831267,0.082566045,0.24173309,0.24008194,0.1520884,-0.025923245,0.49154434
TCGA-55-8092-01,0.23460683,-0.46198922,-0.028035114,0.027025675,-0.3281139,0.36950824,-0.06634966,0.2611754,0.0969014,-0.18916795,-0.015298456,0.1869851,0.24119641,0.22153386,-0.25818563,0.3986409
TCGA-50-8457-01,0.25292206,-0.3378369,0.13606584,0.35011527,-0.32601416,0.22614928,-0.13462922,0.3659145,0.18856768,-0.16659687,-0.296307,0.24819516,0.14011681,0.1936741,-0.24355471,0.20538408
TCGA-NJ-A55R-01,0.2237027,-0.4034991,-0.16807142,0.1940789,-0.3800939,0.26129425,-0.20421042,0.21849217,-0.07888382,-0.23848066,0.26220542,-0.06373259,0.06525247,0.18343627,-0.42995614,0.24569483
TCGA-69-7980-01,0.060191236,-0.42817143,-0.16670859,-0.14370961,-0.32358077,0.40277275,-0.19751123,0.19739452,-0.09339524,-0.34428966,0.22432396,0.08895656,0.12152036,0.17517282,-0.08718669,0.4256166
TCGA-50-5051-01,0.38434938,-0.4218177,-0.24956974,-0.039173987,-0.26669362,0.31872666,-0.016357772,0.13322401,-0.0127861,-0.004475415,-0.008576809,0.3181822,0.29884002,0.13006745,-0.06853531,0.4553904
TCGA-55-8615-01,0.23390725,-0.4695196,-0.15355447,-0.14076565,-0.3195462,0.37184915,-0.091268964,0.16632876,-0.019406151,-0.14648205,0.17422,0.09879129,0.22125198,0.20111872,-0.22415903,0.45108056
TCGA-MP-A4SV-01,0.3322471,-0.4240616,-0.12792291,-0.16437826,-0.27497187,0.31750527,0.0022622652,0.1195758,-0.0027524943,0.027584888,-0.07915852,0.3244806,0.32872573,0.14207958,-0.0227488,0.4843445
TCGA-17-Z052-01,0.25752774,-0.16358796,-0.6877127,0.30415097,-0.0520018,0.07451393,0.27410913,-0.13456477,-0.026504321,-0.022318415,-0.07193232,0.30851927,0.24143462,-0.047027417,0.18004876,0.21326764
TCGA-17-Z005-01,0.063624084,-0.0161025,-0.26369107,0.5061158,-0.119839266,-0.06015862,-0.009643321,0.1219111,0.07350172,0.031744685,-0.56687886,0.32879704,-0.0425118,-0.1515608,0.42000607,0.0042823963
TCGA-64-5781-01,0.4091601,-0.38378763,-0.14644207,0.18347622,-0.27449727,0.27563792,-0.032809816,0.21291399,0.0861224,0.012630797,-0.21713917,0.378933,0.2943376,0.12789021,-0.073838204,0.35453296
TCGA-53-7626-01,0.45736697,-0.38348228,-0.19945742,0.20383161,-0.29046434,0.24730647,-0.03630666,0.19528931,0.07505643,0.026828552,-0.14038764,0.3469405,0.2622187,0.15924954,-0.1328568,0.34531227
