	PCA_1	PCA_2	UMAP_1	UMAP_2	tSNE_1	tSNE_2
TCGA-55-8097-01	2.8651474927086276	1.3336237149907046	11.151496	6.8900323	4.8812003	-10.821228
TCGA-55-8203-01	0.6610894332040543	2.6233415663880346	10.971057	5.5005794	13.914046	-1.878122
TCGA-55-8204-01	0.13274280630906782	1.6026757227228787	12.462508	7.33991	21.353037	-8.076598
TCGA-55-8205-01	-2.46629036061157	-2.370471115276603	15.134202	4.879751	-5.371763	12.60084
TCGA-55-8206-01	2.3383014942001297	2.3157648232082835	10.205744	6.5258274	10.817983	-8.709515
TCGA-55-8207-01	2.062358916993193	-1.2798873335185157	13.321343	7.876289	-0.050341602	-13.168542
TCGA-55-8208-01	3.1180510204808534	1.6694096603890773	10.169694	6.804715	11.305059	-11.021535
TCGA-55-8299-01	3.966095797755108	0.22252081999125728	11.196083	8.276275	6.4463525	-18.879053
TCGA-55-8301-01	2.3663357738255373	3.661324170673695	10.019227	5.096616	18.142237	-2.8538177
TCGA-55-8302-01	0.7450001876398272	3.1192183377814358	10.286659	5.799368	12.482565	-4.5347013
TCGA-55-8505-01	1.197448761621383	2.753863331700525	10.044122	5.24821	19.323229	-3.9110274
TCGA-55-8506-01	0.3525737193259367	4.659894297585238	10.084414	5.0436487	17.967339	-1.3427885
TCGA-55-8507-01	-4.814585277147411	-1.111749312014537	13.353041	3.9757087	8.797238	14.3327875
TCGA-55-8508-01	-0.3692882534630356	1.8662460360442716	12.531062	7.4118843	21.76796	-8.240898
TCGA-55-8510-01	-2.5829329854039655	2.3737648786311474	11.494498	4.639268	11.982311	4.9375086
TCGA-55-8511-01	-0.9188613349497399	2.9708732281002637	11.03622	5.2516565	13.973694	-0.5727641
TCGA-55-8512-01	4.456371809007596	2.1413520014664402	10.208652	6.627021	11.169341	-7.9505725
TCGA-55-8513-01	3.3489566490555793	-0.9155822939312772	11.532684	8.267839	4.4586096	-20.85734
TCGA-55-8514-01	-5.19819577934592	-0.4191209637013341	12.742984	3.6047573	9.252902	11.749776
TCGA-55-8614-01	-2.831552117148855	-3.132479617398646	13.40238	4.5259457	3.7515018	13.49512
TCGA-55-8615-01	-2.909577719258358	2.109278056997587	11.967501	4.152831	8.81365	5.409737
TCGA-55-8616-01	-0.09125752421424982	3.9785576002262237	11.088487	5.3165674	14.70475	-0.15841655
TCGA-55-8619-01	3.2641251173804076	-1.4765585624863427	11.585146	8.268824	4.3024015	-20.707726
TCGA-55-8620-01	1.1861836412492586	-2.2898867826043205	13.485787	7.3634205	-4.684594	-21.084614
TCGA-55-8621-01	2.7620200570590963	0.31060596266264756	10.069788	7.871648	13.240887	-16.494797
TCGA-55-A48X-01	1.0868870214202324	1.4316168382843293	11.095613	5.8497796	14.555428	-3.2525938
TCGA-55-A48Y-01	1.7127106554412161	1.1844139194121484	9.823169	7.1640773	14.293175	-12.89155
TCGA-55-A48Z-01	-2.0540490123283206	-2.5582113367638004	13.492149	4.839813	1.5340255	13.513937
TCGA-55-A490-01	-4.259520104266046	-0.47036894684224134	13.498216	4.104764	7.0254316	15.205074
TCGA-55-A491-01	-4.605012713231646	2.307404869871809	11.64455	4.3157396	12.75194	10.251324
TCGA-55-A492-01	0.9508850927804167	5.230365870713323	9.92083	4.8588715	19.405407	-1.9799802
TCGA-55-A493-01	-0.8244353448602372	1.6681208848497426	11.331982	5.429084	13.119209	0.8078595
TCGA-55-A494-01	-2.8269154887549	-0.4920164077526652	12.914398	4.678394	5.518508	12.819747
TCGA-55-A4DF-01	0.9429832971794212	-0.7219813598403544	13.418158	7.856339	0.18935189	-12.668188
