Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-NJ-A4YG-01,8.853413,4.6557064,4.714146,5.0951853,4.087334,4.8227367,4.8760715,5.1954756,6.5325117,5.720549,5.3959503,4.802684,5.185143,4.7730207,5.151513,7.355457,5.80742,4.169343,5.036437,4.0055237,5.953154,4.361074,5.897316,4.8211236,5.0988793,5.5460043,5.368601,5.3249645,6.770125,3.6127641,6.0631385,6.3283772,4.2052155,3.7900407,5.3652935,5.211764,4.9820056,5.887805,5.3785763,5.6125603,4.026058,4.5921445,5.5560336,6.022272,7.7984514,4.9274626,6.5339994,3.8898818,4.0927987,5.1359687,4.424768,5.646907,5.3140926,4.93553,4.7937016,4.6515775,3.5878341,5.625327,4.2567043,3.6473675,6.015846,5.540539,4.6786957,3.7250338
TCGA-44-2655-01,8.358402,4.7885556,4.75348,5.1455073,4.1745024,4.8602505,4.926987,5.158257,6.6153617,5.6851544,5.438852,4.842557,5.3334064,4.74754,5.118083,7.3366423,5.9644275,4.117442,5.068368,3.9857614,6.0041056,4.4121795,5.762399,4.92652,5.091255,5.6351385,5.262538,5.280258,6.739735,3.8642561,6.1128144,6.4732776,4.3064775,3.7179315,5.329929,5.3386903,5.104221,5.8580084,5.5254574,5.5905414,3.995107,4.5478063,5.6396484,6.0060124,7.6499014,4.87575,6.8065763,3.843396,4.2598233,5.167676,4.4867396,5.78018,5.505395,4.597602,4.7838917,4.5024204,3.4835253,5.6914062,4.247162,3.6671429,6.08596,5.5563116,4.610623,3.7582138
TCGA-17-Z025-01,7.2706237,5.075173,4.8491144,5.174325,4.326449,4.99364,4.9717913,5.1062484,6.7382154,5.6031313,5.62956,4.8627462,5.6292777,4.6132665,4.996092,7.3633485,6.3334694,3.9939651,5.25705,3.8985496,6.1292257,4.582204,5.5093746,5.057405,5.068242,5.876068,5.0763807,5.1949973,6.7041907,4.2408485,6.19866,6.8115516,4.4881296,3.6394575,5.1950355,5.590282,5.314318,5.7572045,5.7748885,5.498363,3.9480078,4.533698,5.871845,5.948723,7.3870735,4.812531,7.2998004,3.811841,4.59775,5.170243,4.665153,6.0412393,5.89986,4.0526505,4.8515577,4.2600746,3.2022543,5.7785516,4.192889,3.7509205,6.238802,5.678062,4.508584,3.844045
TCGA-55-7727-01,7.446564,5.0471253,4.857977,5.1298532,4.299411,4.998294,4.940924,5.09145,6.709169,5.5763564,5.624256,4.8584423,5.6043816,4.599602,5.01057,7.3854966,6.312318,3.9739335,5.3143697,3.9207194,6.148519,4.5696716,5.5493054,5.0066657,5.115779,5.950802,5.119206,5.2931867,6.7511015,4.205962,6.23486,6.748027,4.4863157,3.6076963,5.1909084,5.5319138,5.2429833,5.7104692,5.7167773,5.477732,3.8739483,4.46876,5.8478527,5.9439864,7.3319993,4.909464,7.2429943,3.8253217,4.5917144,5.1457915,4.7346597,6.023759,5.874316,4.103067,4.8380694,4.3256993,3.2151718,5.7921247,4.2040596,3.7409828,6.230543,5.695441,4.4846783,3.791527
TCGA-05-4403-01,9.053877,4.5778494,4.695515,5.1348705,4.1022015,4.869056,4.817781,5.251946,6.4493594,5.678991,5.368009,4.829732,5.0545135,4.7570305,5.1170187,7.384652,5.768828,4.22612,5.0455337,3.9711254,5.86562,4.3896027,5.8862476,4.7652836,5.020876,5.4662232,5.416982,5.3544555,6.813855,3.4695761,6.0081224,6.2071056,4.1544847,3.9343383,5.361321,5.1135674,4.882228,5.939662,5.245008,5.6410427,4.0674663,4.6139946,5.4919333,6.104579,7.968149,4.890503,6.3710184,3.8348176,3.974061,5.110096,4.4296103,5.4716725,5.171206,5.183132,4.793262,4.7108617,3.670452,5.555418,4.273763,3.6456075,5.895476,5.4497476,4.7873144,3.731947
TCGA-17-Z030-01,5.3326597,6.2950497,4.9347615,4.7795124,5.0479326,5.707972,5.020704,5.123558,6.881788,5.256533,6.525217,4.9169087,6.207449,4.227924,4.6358724,7.742798,7.127939,3.758464,6.0373893,4.0190744,6.2823477,5.256629,5.199297,4.9866085,4.93613,6.5896945,4.589685,4.9066353,6.557761,4.746419,6.4655647,7.478945,4.5703807,3.69512,4.602246,5.8208413,5.559454,5.5366282,5.596408,5.132117,3.781884,4.36962,6.3610573,5.9218335,6.873487,4.8226194,8.090754,3.6608796,5.119861,4.8292174,5.212315,6.179692,6.2795377,3.932147,5.1334133,4.080818,2.7081141,5.7482524,3.7216165,4.103819,6.2875223,5.9563613,4.1802135,4.2165675
TCGA-91-A4BC-01,6.032556,5.787351,5.0188456,4.8646975,4.7037206,5.448924,4.9798994,5.1085505,6.835558,5.363852,6.227704,4.862609,6.062128,4.342799,4.7483582,7.6374397,6.9550858,3.822021,5.859741,4.0213027,6.2817535,5.007142,5.209433,5.0588427,4.904687,6.4095902,4.8403215,5.0437126,6.648409,4.5444016,6.395683,7.2607636,4.551912,3.6927145,4.7913375,5.7964826,5.47908,5.593345,5.70461,5.2137613,3.8102844,4.3636694,6.187348,5.9198413,7.059417,4.8969464,7.8321347,3.7028825,4.9497857,4.9644737,5.0929217,6.191444,6.0936785,4.0022774,5.05526,4.1863556,2.8925433,5.743154,3.8480182,4.052623,6.216448,5.9131384,4.256386,4.0849056
TCGA-L9-A444-01,5.557211,6.1208234,4.938782,4.829893,4.923284,5.648947,5.007432,5.074047,6.9049416,5.342461,6.4152317,4.906203,6.13143,4.265042,4.651441,7.716872,7.0486135,3.760878,5.9417686,4.038634,6.293264,5.17477,5.280939,5.0145144,4.9565578,6.5481544,4.6785846,4.938825,6.584801,4.6615405,6.4359174,7.4332495,4.5578833,3.7179277,4.6814713,5.775234,5.51152,5.581027,5.6119847,5.163631,3.7900417,4.3930974,6.2759533,5.9069138,6.891686,4.8477535,7.98956,3.6920002,5.0549426,4.8906193,5.128315,6.158309,6.298567,3.9244504,5.0938587,4.0761356,2.7840827,5.760878,3.7820787,4.062957,6.263451,5.9545903,4.224508,4.150942
TCGA-50-5044-01,9.367222,4.5742803,4.689016,5.0656986,4.000737,4.825734,4.8240104,5.242945,6.4385614,5.759087,5.3712406,4.8018775,5.032598,4.768392,5.146087,7.378603,5.6750736,4.2039614,5.0413284,4.0065117,5.8789496,4.3443203,5.965927,4.749171,5.059625,5.454106,5.4334087,5.377872,6.7859035,3.38346,5.9603276,6.173678,4.1303954,3.93244,5.368494,5.0749426,4.8597236,5.9016056,5.177325,5.592295,4.0700116,4.626541,5.50581,6.0559173,7.984245,4.942442,6.2544036,3.9062893,3.913997,5.0806136,4.381116,5.49256,5.1439075,5.313275,4.805691,4.7431984,3.7074866,5.550092,4.259946,3.6179383,5.918325,5.508727,4.7642407,3.723992
TCGA-91-7771-01,7.889379,4.880527,4.780004,5.179037,4.222008,4.896129,4.9089746,5.1269026,6.646944,5.6588197,5.4797053,4.8617926,5.424899,4.669058,5.0689354,7.341936,6.0938563,4.0604753,5.130472,3.9070015,6.0573263,4.454531,5.6584287,4.973825,5.0939164,5.7518363,5.205882,5.2859907,6.743897,4.0106077,6.1397724,6.5798135,4.411078,3.6973903,5.2978578,5.443723,5.1742444,5.808376,5.625734,5.561923,3.960784,4.560035,5.720093,5.987141,7.5280347,4.8666267,6.985898,3.839838,4.3983583,5.1754932,4.5725226,5.892442,5.6858325,4.3506503,4.786118,4.406431,3.3733838,5.731474,4.278863,3.6692104,6.176181,5.598188,4.576437,3.7615077
