run,dim,method,K,jaccard_index,dataset
1,16,tSNE,30,0.609041289780774,MIMIC
1,16,tSNE,50,0.613892011422284,MIMIC
2,16,UMAP,10,0.25700733460440894,MIMIC
2,16,UMAP,30,0.33083352111529774,MIMIC
2,16,UMAP,50,0.36882165561094915,MIMIC
2,16,PCA,10,0.23785136422106057,MIMIC
2,16,PCA,30,0.3491772879692418,MIMIC
2,16,PCA,50,0.39950455612920555,MIMIC
2,16,tSNE,10,0.28481118333461714,MIMIC
2,16,tSNE,30,0.32080252591920444,MIMIC
2,16,tSNE,50,0.34413322377413397,MIMIC
3,16,UMAP,10,0.5214077963774868,MIMIC
3,16,UMAP,30,0.5291138624244754,MIMIC
3,16,UMAP,50,0.490679192394373,MIMIC
3,16,PCA,10,0.5920917459806978,MIMIC
3,16,PCA,30,0.5436677218734772,MIMIC
3,16,PCA,50,0.5237185543113109,MIMIC
3,16,tSNE,10,0.6005344894024028,MIMIC
3,16,tSNE,30,0.6181292243533482,MIMIC
3,16,tSNE,50,0.5890044025663945,MIMIC
4,16,UMAP,10,0.2686878324846392,MIMIC
4,16,UMAP,30,0.30050449697002485,MIMIC
4,16,UMAP,50,0.3210813299305099,MIMIC
4,16,PCA,10,0.07859030418747501,MIMIC
4,16,PCA,30,0.13441242904604267,MIMIC
4,16,PCA,50,0.17062957733286546,MIMIC
4,16,tSNE,10,0.3780537415015168,MIMIC
4,16,tSNE,30,0.35547010601498236,MIMIC
4,16,tSNE,50,0.3563798290341056,MIMIC
5,16,UMAP,10,0.3221380179841463,MIMIC
5,16,UMAP,30,0.38163203183808403,MIMIC
5,16,UMAP,50,0.4209831031184098,MIMIC
5,16,PCA,10,0.161099450361807,MIMIC
5,16,PCA,30,0.2553183842668723,MIMIC
5,16,PCA,50,0.31553198487376827,MIMIC
5,16,tSNE,10,0.415944930789251,MIMIC
5,16,tSNE,30,0.41825538951077357,MIMIC
5,16,tSNE,50,0.4374620091301548,MIMIC
6,16,UMAP,10,0.40973463950225253,MIMIC
6,16,UMAP,30,0.46515284126016165,MIMIC
6,16,UMAP,50,0.4993909134065971,MIMIC
6,16,PCA,10,0.25799928137221634,MIMIC
6,16,PCA,30,0.359895030789193,MIMIC
6,16,PCA,50,0.4198886517250432,MIMIC
6,16,tSNE,10,0.46197597594771783,MIMIC
6,16,tSNE,30,0.4813764515601373,MIMIC
6,16,tSNE,50,0.5000280312918436,MIMIC
7,16,UMAP,10,0.2902574132600268,MIMIC
7,16,UMAP,30,0.34649028967044015,MIMIC
7,16,UMAP,50,0.37975642878991606,MIMIC
7,16,PCA,10,0.14952250470805345,MIMIC
7,16,PCA,30,0.2443125970111923,MIMIC
7,16,PCA,50,0.30313394124822274,MIMIC
7,16,tSNE,10,0.3902689375024864,MIMIC
7,16,tSNE,30,0.3826516826086021,MIMIC
7,16,tSNE,50,0.39418306962668387,MIMIC
8,16,UMAP,10,0.23134968270291337,MIMIC
8,16,UMAP,30,0.2595314281901386,MIMIC
8,16,UMAP,50,0.27426587234221894,MIMIC
8,16,PCA,10,0.04632894418326135,MIMIC
8,16,PCA,30,0.07900345496200581,MIMIC
8,16,PCA,50,0.10180217772285842,MIMIC
8,16,tSNE,10,0.34641114128023354,MIMIC
8,16,tSNE,30,0.31107286137039886,MIMIC
8,16,tSNE,50,0.30560745444758114,MIMIC
9,16,UMAP,10,0.22219047933628802,MIMIC
9,16,UMAP,30,0.2528805209939557,MIMIC
9,16,UMAP,50,0.2685753723137505,MIMIC
9,16,PCA,10,0.04772710752442182,MIMIC
9,16,PCA,30,0.08449721375034287,MIMIC
9,16,PCA,50,0.11018136507029738,MIMIC
9,16,tSNE,10,0.3446455837058419,MIMIC
9,16,tSNE,30,0.31283201258948734,MIMIC
9,16,tSNE,50,0.3069476926800096,MIMIC
0,32,UMAP,10,0.3174660723580698,MIMIC
0,32,UMAP,30,0.34694257759078856,MIMIC
0,32,UMAP,50,0.3548567186668646,MIMIC
0,32,PCA,10,0.08046032492647896,MIMIC
0,32,PCA,30,0.12352502858445925,MIMIC
0,32,PCA,50,0.14784691973285288,MIMIC
0,32,tSNE,10,0.42518413584731635,MIMIC
0,32,tSNE,30,0.40124089614016006,MIMIC
0,32,tSNE,50,0.3875872066404684,MIMIC
1,32,UMAP,10,0.45383428692797584,MIMIC
1,32,UMAP,30,0.46473209938621646,MIMIC
1,32,UMAP,50,0.47209887438068715,MIMIC
1,32,PCA,10,0.2906608360763386,MIMIC
1,32,PCA,30,0.35349052747224774,MIMIC
1,32,PCA,50,0.39947874955102114,MIMIC
1,32,tSNE,10,0.5347468735663338,MIMIC
1,32,tSNE,30,0.5058281408289237,MIMIC
1,32,tSNE,50,0.5037323235898187,MIMIC
2,32,UMAP,10,0.25302726104407497,MIMIC
2,32,UMAP,30,0.2691638468861121,MIMIC
2,32,UMAP,50,0.277350781467414,MIMIC
2,32,PCA,10,0.051984898144189835,MIMIC
2,32,PCA,30,0.0830060426398882,MIMIC
2,32,PCA,50,0.10616023153690174,MIMIC
2,32,tSNE,10,0.3659684191049818,MIMIC
2,32,tSNE,30,0.323557739318176,MIMIC
2,32,tSNE,50,0.3143997940378803,MIMIC
3,32,UMAP,10,0.2286266245695546,MIMIC
3,32,UMAP,30,0.2619951945153152,MIMIC
3,32,UMAP,50,0.2822204647216742,MIMIC
3,32,PCA,10,0.037283617881753585,MIMIC
3,32,PCA,30,0.06335241784450077,MIMIC
3,32,PCA,50,0.08155652129737201,MIMIC
3,32,tSNE,10,0.3307125380463916,MIMIC
3,32,tSNE,30,0.3073784534996525,MIMIC
3,32,tSNE,50,0.3106602085441078,MIMIC
4,32,UMAP,10,0.41064551126260873,MIMIC
4,32,UMAP,30,0.4107731391695841,MIMIC
4,32,UMAP,50,0.40225782117162406,MIMIC
4,32,PCA,10,0.16123654922873798,MIMIC
4,32,PCA,30,0.21373378690578174,MIMIC
4,32,PCA,50,0.24720050132278684,MIMIC
4,32,tSNE,10,0.5083053962246954,MIMIC
4,32,tSNE,30,0.4589607695393187,MIMIC
4,32,tSNE,50,0.43290988113182494,MIMIC
5,32,UMAP,10,0.5232548488251711,MIMIC
5,32,UMAP,30,0.4821225212771712,MIMIC
5,32,UMAP,50,0.4148020491299522,MIMIC
5,32,PCA,10,0.3658338860180294,MIMIC
5,32,PCA,30,0.29921656579789374,MIMIC
5,32,PCA,50,0.27548612707240955,MIMIC
5,32,tSNE,10,0.6187634553595187,MIMIC
5,32,tSNE,30,0.5954583899823118,MIMIC
5,32,tSNE,50,0.5368845285131147,MIMIC
6,32,UMAP,10,0.4513442163274989,MIMIC
6,32,UMAP,30,0.447921823183999,MIMIC
6,32,UMAP,50,0.44828420661279106,MIMIC
6,32,PCA,10,0.22908608127633692,MIMIC
6,32,PCA,30,0.2547561941967515,MIMIC
6,32,PCA,50,0.2790630279018262,MIMIC
6,32,tSNE,10,0.5395764602090586,MIMIC
6,32,tSNE,30,0.5147456233469402,MIMIC
6,32,tSNE,50,0.5030138454064303,MIMIC
7,32,UMAP,10,0.29575906609737895,MIMIC
7,32,UMAP,30,0.3272643104373456,MIMIC
7,32,UMAP,50,0.33921630521786056,MIMIC
7,32,PCA,10,0.06474738119810568,MIMIC
7,32,PCA,30,0.10464489494266321,MIMIC
7,32,PCA,50,0.12806754123661274,MIMIC
7,32,tSNE,10,0.3970797608652408,MIMIC
7,32,tSNE,30,0.3752427682065802,MIMIC
7,32,tSNE,50,0.3677395722772264,MIMIC
8,32,UMAP,10,0.2267916610373212,MIMIC
8,32,UMAP,30,0.25294783072310084,MIMIC
8,32,UMAP,50,0.2674165684225658,MIMIC
8,32,PCA,10,0.036165693627811975,MIMIC
8,32,PCA,30,0.06040407042938158,MIMIC
8,32,PCA,50,0.08005718777387524,MIMIC
8,32,tSNE,10,0.33630630033027104,MIMIC
8,32,tSNE,30,0.31098480070949236,MIMIC
8,32,tSNE,50,0.30611586456751816,MIMIC
9,32,UMAP,10,0.2628057412262066,MIMIC
9,32,UMAP,30,0.29421276656167905,MIMIC
9,32,UMAP,50,0.3051027082216566,MIMIC
9,32,PCA,10,0.04864594402725658,MIMIC
9,32,PCA,30,0.08025674681094697,MIMIC
9,32,PCA,50,0.10204967138681403,MIMIC
9,32,tSNE,10,0.3775255388256386,MIMIC
9,32,tSNE,30,0.34997823188002575,MIMIC
9,32,tSNE,50,0.3468035251285723,MIMIC
0,64,UMAP,10,0.16221148784054135,MIMIC
0,64,UMAP,30,0.18370112499956562,MIMIC
0,64,UMAP,50,0.19420296657108055,MIMIC
0,64,PCA,10,0.02145779836352214,MIMIC
0,64,PCA,30,0.04098530336777136,MIMIC
0,64,PCA,50,0.05538178701424123,MIMIC
0,64,tSNE,10,0.28116074856124107,MIMIC
0,64,tSNE,30,0.2337329951946068,MIMIC
0,64,tSNE,50,0.22313296642965091,MIMIC
1,64,UMAP,10,0.19823148322900813,MIMIC
1,64,UMAP,30,0.22733824701106314,MIMIC
1,64,UMAP,50,0.24573495954895008,MIMIC
1,64,PCA,10,0.03526665317852696,MIMIC
1,64,PCA,30,0.06351465359263973,MIMIC
1,64,PCA,50,0.08396901306641136,MIMIC
1,64,tSNE,10,0.32458659342201596,MIMIC
1,64,tSNE,30,0.2876218592883433,MIMIC
1,64,tSNE,50,0.2837327296202236,MIMIC
2,64,UMAP,10,0.17496980459908465,MIMIC
2,64,UMAP,30,0.19830715300775964,MIMIC
2,64,UMAP,50,0.21003903802073473,MIMIC
2,64,PCA,10,0.029599883112640373,MIMIC
2,64,PCA,30,0.05252388420669089,MIMIC
2,64,PCA,50,0.06988440556907961,MIMIC
2,64,tSNE,10,0.2914796581492614,MIMIC
2,64,tSNE,30,0.24596468890460785,MIMIC
2,64,tSNE,50,0.23841486893988414,MIMIC
3,64,UMAP,10,0.1502834253800173,MIMIC
3,64,UMAP,30,0.17305713936118786,MIMIC
3,64,UMAP,50,0.18521137242188973,MIMIC
3,64,PCA,10,0.019318437528896722,MIMIC
3,64,PCA,30,0.039569303538789374,MIMIC
3,64,PCA,50,0.05405888800450376,MIMIC
3,64,tSNE,10,0.2648425929021757,MIMIC
3,64,tSNE,30,0.2226978813872337,MIMIC
3,64,tSNE,50,0.21577227872213525,MIMIC
4,64,UMAP,10,0.13137740157832534,MIMIC
4,64,UMAP,30,0.1549013423046174,MIMIC
4,64,UMAP,50,0.1682940420819078,MIMIC
4,64,PCA,10,0.016556410199383004,MIMIC
4,64,PCA,30,0.03324301075335059,MIMIC
4,64,PCA,50,0.04600253709565531,MIMIC
4,64,tSNE,10,0.23892502805733692,MIMIC
4,64,tSNE,30,0.20104068028577166,MIMIC
4,64,tSNE,50,0.1979354905159304,MIMIC
5,64,UMAP,10,0.1819565536702263,MIMIC
5,64,UMAP,30,0.19714427117473132,MIMIC
5,64,UMAP,50,0.20896945325608007,MIMIC
5,64,PCA,10,0.026655120603600722,MIMIC
5,64,PCA,30,0.04759635232243492,MIMIC
5,64,PCA,50,0.0642665480952212,MIMIC
5,64,tSNE,10,0.2980307708570858,MIMIC
5,64,tSNE,30,0.24940983301152753,MIMIC
5,64,tSNE,50,0.2426079449687114,MIMIC
6,64,UMAP,10,0.15486086877052335,MIMIC
6,64,UMAP,30,0.18080776726244938,MIMIC
6,64,UMAP,50,0.19382544166910018,MIMIC
6,64,PCA,10,0.016278213689634394,MIMIC
6,64,PCA,30,0.03249233508390624,MIMIC
6,64,PCA,50,0.0440598594894191,MIMIC
6,64,tSNE,10,0.26780414783301,MIMIC
6,64,tSNE,30,0.22473365479087212,MIMIC
6,64,tSNE,50,0.21672147687384238,MIMIC
7,64,UMAP,10,0.1598365450940606,MIMIC
7,64,UMAP,30,0.18710784238632228,MIMIC
7,64,UMAP,50,0.20064854778620464,MIMIC
7,64,PCA,10,0.023664697858926255,MIMIC
7,64,PCA,30,0.04393277764802987,MIMIC
7,64,PCA,50,0.058522857049000426,MIMIC
7,64,tSNE,10,0.27661670879681227,MIMIC
7,64,tSNE,30,0.24000487621516664,MIMIC
7,64,tSNE,50,0.2352753379588418,MIMIC
8,64,UMAP,10,0.23690800953212124,MIMIC
8,64,UMAP,30,0.2536466087618774,MIMIC
8,64,UMAP,50,0.2607441366926996,MIMIC
8,64,PCA,10,0.032271502208974415,MIMIC
8,64,PCA,30,0.05602175005361586,MIMIC
8,64,PCA,50,0.07368310135167522,MIMIC
8,64,tSNE,10,0.3492619029286199,MIMIC
8,64,tSNE,30,0.3054328245887909,MIMIC
8,64,tSNE,50,0.2972663404189823,MIMIC
9,64,UMAP,10,0.17114229660690264,MIMIC
9,64,UMAP,30,0.19968297143589533,MIMIC
