Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-78-7145-01,6.2602882,14.640514,-9.336069,16.452887,3.05451,-9.472592,-4.8912153,13.490202,7.77596,7.345741,1.1665697,12.057737,8.284101,3.834532,10.469101,2.4130497
TCGA-55-6969-01,6.3822913,14.528445,-9.2102585,16.334341,3.2617905,-9.19698,-4.9753823,13.231424,7.864956,7.4130106,1.237918,12.196084,8.449717,3.5470657,10.491839,2.3161733
TCGA-69-7763-01,6.0930715,14.651231,-9.499327,16.23437,3.2987185,-9.72775,-5.073005,13.382399,7.625752,7.7077165,0.96293014,12.108132,9.054739,3.7537115,9.86616,2.5061634
TCGA-55-8087-01,6.084695,14.2140465,-9.741152,15.602666,3.6828287,-10.261587,-5.516419,14.636358,7.8257213,8.907872,0.89554125,11.850113,9.709703,3.5278094,10.172589,1.6261722
TCGA-78-7542-01,6.43002,14.57161,-9.335707,16.41056,3.1391892,-9.368293,-4.957847,13.492611,7.8537145,7.348224,1.3091301,11.985159,8.304237,3.8146122,10.546104,2.3586771
TCGA-62-A472-01,5.9160504,14.664097,-9.422319,16.523678,3.2606697,-9.322621,-5.4233985,13.646104,7.5340867,7.7940574,0.7893485,12.194103,8.899562,2.9986773,10.590287,2.1709132
TCGA-64-5778-01,6.227404,14.858163,-9.733512,16.544687,2.8540807,-9.534366,-5.4815316,13.984449,7.3904314,7.9002733,0.91286427,11.834607,9.127751,3.565851,10.400164,1.8398348
TCGA-64-5775-01,6.203848,14.88277,-9.798822,16.581865,2.987489,-9.816284,-5.7032247,14.081587,7.468073,8.04519,0.65672624,11.645825,9.199423,3.594141,10.351067,1.9737825
TCGA-49-AAQV-01,6.346573,14.205178,-9.959897,16.309315,3.5717978,-10.031754,-6.171487,14.45653,7.8473477,8.662214,0.81630653,11.394357,10.020041,3.4779806,10.259631,1.4329853
TCGA-44-3396-01,6.15905,14.67116,-9.763888,16.064459,3.2271752,-10.322426,-5.7856774,14.6268215,7.566134,8.822381,0.45613456,11.656601,9.58924,3.64743,10.430497,1.5931959
TCGA-95-8039-01,6.3456745,14.263211,-9.953858,16.000448,3.5690086,-10.255485,-6.0921445,14.885186,7.8626227,8.927496,0.81078357,11.411455,9.886457,3.5117798,10.545395,1.4641153
