Sample ID,dim_0,dim_1
TCGA-75-7025-01,20.722809,3.388108
TCGA-75-7027-01,20.238758,3.5827951
TCGA-75-7030-01,20.348969,3.7681723
TCGA-75-7031-01,20.290945,3.6636229
TCGA-78-7143-01,20.5157,2.6036406
TCGA-78-7145-01,20.393715,3.1692705
TCGA-78-7146-01,20.919167,3.8306854
TCGA-78-7147-01,20.321766,2.8980796
TCGA-78-7148-01,20.49453,4.7401867
TCGA-78-7149-01,19.664728,3.980521
TCGA-78-7150-01,20.731237,3.5900118
TCGA-78-7152-01,19.677242,4.535747
TCGA-78-7153-01,19.051231,4.5967193
TCGA-78-7154-01,20.671532,2.9427202
TCGA-78-7155-01,20.689774,2.811718
TCGA-78-7156-01,20.401693,4.6013675
TCGA-78-7158-01,19.971674,4.995835
TCGA-78-7159-01,20.379976,2.3694232
TCGA-78-7160-01,20.677298,4.4754477
TCGA-78-7161-01,18.537035,5.2590933
TCGA-78-7162-01,19.88594,4.6785417
TCGA-78-7163-01,19.704138,3.1224096
TCGA-78-7166-01,20.722523,4.9212537
TCGA-78-7167-01,20.724579,4.3255706
TCGA-78-7220-01,20.439766,2.4597902
TCGA-78-7535-01,20.393587,2.641985
TCGA-78-7536-01,20.567207,2.7293134
TCGA-78-7537-01,20.02436,4.610102
TCGA-78-7539-01,19.780201,4.642398
TCGA-78-7540-01,19.798471,4.9522495
TCGA-78-7542-01,20.767694,2.904861
TCGA-78-7633-01,19.404085,4.7045717
TCGA-78-8640-01,20.352602,2.4405532
TCGA-78-8648-01,20.576466,2.797749
TCGA-78-8655-01,19.530401,4.987226
TCGA-78-8660-01,20.827538,3.9225714
TCGA-78-8662-01,20.567448,2.748745
TCGA-80-5607-01,20.158197,4.7367663
TCGA-80-5608-01,20.063715,4.1832747
TCGA-80-5611-01,19.862526,3.9279492
TCGA-83-5908-01,16.244791,4.10996
TCGA-86-6562-01,17.013994,4.4855638
TCGA-86-6851-01,17.0422,4.213744
TCGA-86-7701-01,16.259892,2.7473226
TCGA-86-7711-01,16.873878,2.5903528
TCGA-86-7713-01,17.077463,2.9389827
TCGA-86-7714-01,17.204206,6.373035
TCGA-86-7953-01,16.814701,3.1120472
TCGA-86-7954-01,17.051367,3.5552673
TCGA-86-7955-01,16.590912,2.658537
TCGA-86-8054-01,16.872187,3.7026324
TCGA-86-8055-01,16.862576,2.562249
TCGA-86-8056-01,17.051847,6.0242286
TCGA-86-8073-01,16.91878,4.9757276
TCGA-86-8074-01,16.075565,3.1365972
TCGA-86-8075-01,16.716413,3.1099093
TCGA-86-8076-01,17.574423,6.1812406
TCGA-86-8278-01,17.105106,6.5338025
TCGA-86-8279-01,16.723343,2.5643911
TCGA-86-8280-01,16.18816,3.1034057
TCGA-86-8281-01,17.687092,6.1275034
TCGA-86-8358-01,16.453428,2.4658463
TCGA-86-8359-01,17.025879,2.794752
TCGA-86-8585-01,16.34108,2.853764
TCGA-86-8668-01,17.099823,5.150802
TCGA-86-8669-01,15.461798,3.616136
TCGA-86-8671-01,17.370903,6.4792695
TCGA-86-8672-01,16.55888,2.697282
