Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-05-5423-01,15.523812,2.3682818,2.6272323,1.5694786,1.8441474,2.6864746,9.262617,7.559965,8.271101,3.3154268,5.852245,2.0255513,4.019901,5.6437955,6.706312,4.5615916,4.370964,10.180809,5.7386355,3.0527966,6.2008233,7.2161856,6.461037,4.8519154,4.2490263,3.9188278,6.396366,7.816439,-0.058549423,6.2152233,8.053377,3.9033656
TCGA-05-5425-01,15.712859,1.7063227,2.6384761,1.1174021,1.8310452,2.7945664,9.478025,7.8220778,8.53933,3.6273015,5.7754173,1.8525378,3.947882,5.510979,7.0293827,4.7783055,4.5940137,10.171324,5.7211404,2.7328985,6.285074,7.0533004,6.608405,5.055976,4.1723557,3.6559327,6.364445,7.973699,0.21815349,6.1040554,7.828867,3.7559962
TCGA-05-5428-01,14.946698,2.0893707,2.5934181,1.9803369,2.3967419,2.4011075,9.375156,6.988269,7.9428563,3.1203508,5.9695616,2.525869,3.8039765,5.5861564,6.783307,4.545017,4.729385,10.048656,5.943164,3.04477,5.9317737,7.4085455,6.2355537,4.578077,4.0562053,4.1689463,6.559524,7.7655993,0.6741814,6.1525936,7.701474,4.228159
TCGA-05-5429-01,15.466869,1.5757798,2.692618,1.3293135,2.216403,2.9055479,9.296394,7.701942,8.266626,3.301564,5.7542453,1.9316283,3.8507886,5.560252,6.76274,4.589621,4.6080647,10.062188,5.7012734,2.8351638,6.388016,7.042957,6.8359923,4.9333987,4.444042,3.8186402,6.243927,7.9162445,-0.036482036,6.255029,8.014597,3.9466624
TCGA-05-5715-01,15.507501,1.5406107,2.6020179,1.2540087,2.1176138,2.8024337,9.507988,7.8513393,8.30013,3.5555203,5.84937,1.8800114,4.074893,5.4067354,6.9437895,4.765855,4.6841345,10.120115,5.7424765,2.7484703,6.2560587,7.0789685,6.6269617,5.0096035,4.165916,3.7007618,6.29412,7.8978662,0.45852703,6.1230927,7.819116,3.9078174
TCGA-17-Z000-01,-5.9941096,1.3791517,5.7644243,7.306238,4.5608597,9.550156,-1.5252349,6.793886,5.0342493,5.53669,7.9952793,2.4870386,4.982031,2.9188075,3.300867,5.112093,2.002621,7.2310266,6.620884,3.232309,5.8272524,4.2944713,1.9659975,6.334685,8.393434,5.793891,3.8497741,4.817322,7.94318,3.126747,6.3295994,5.3794146
TCGA-17-Z001-01,-5.951301,1.3518031,5.7766356,7.311666,4.541207,9.497708,-1.5716391,6.8255534,5.0029325,5.515702,7.9390903,2.52587,4.943977,2.872061,3.3211756,5.153322,2.0048432,7.2738447,6.668816,3.200993,5.838596,4.2935185,1.9835365,6.3524456,8.365654,5.791948,3.8205903,4.8384976,7.9242086,3.1408372,6.386319,5.3897004
TCGA-17-Z002-01,-5.9444466,1.3570167,5.8566008,7.2888746,4.580388,9.521105,-1.5489496,6.854664,5.0018845,5.5869613,7.9709644,2.494044,4.968419,2.908883,3.305063,5.1066647,2.0067189,7.208029,6.662254,3.1612778,5.8064256,4.3072047,2.0062525,6.329954,8.367167,5.776206,3.7498198,4.7829723,7.9911146,3.0874305,6.4105606,5.403571
TCGA-17-Z003-01,-5.9614677,1.3687615,5.804729,7.367704,4.552237,9.585238,-1.5054629,6.790713,5.044769,5.534124,7.9663944,2.5127602,5.050545,2.892318,3.2813115,5.1145163,2.0088246,7.2624373,6.636173,3.1821134,5.8313365,4.2721796,1.9911053,6.414778,8.444137,5.8328743,3.7861123,4.781329,7.9630604,3.139027,6.4239163,5.420339
TCGA-17-Z004-01,-5.9494247,1.4191413,5.774979,7.3370566,4.5677123,9.554857,-1.5265945,6.789032,5.0143743,5.482219,8.026078,2.4635053,4.9495697,2.9119155,3.2955248,5.0891595,2.0288935,7.1774015,6.6776233,3.1910582,5.8171477,4.2479477,2.0172849,6.293593,8.3673525,5.8112087,3.7803164,4.8306074,8.004299,3.1206331,6.3518987,5.4121737
TCGA-17-Z005-01,-5.931852,1.3661209,5.774468,7.3520675,4.567207,9.517194,-1.5188588,6.7956266,5.0086436,5.5063686,8.010199,2.508645,5.0270667,2.9127944,3.3138034,5.096521,2.0604947,7.261463,6.6480217,3.1913662,5.8276467,4.29145,2.0241904,6.365439,8.358509,5.753029,3.8180244,4.8357,7.975602,3.0531805,6.4278393,5.4057813
TCGA-17-Z007-01,-5.970371,1.4211409,5.778668,7.358622,4.5547357,9.534024,-1.5539322,6.7933803,5.0051303,5.4817915,8.0019245,2.5201569,5.0300236,2.8784678,3.292651,5.147979,2.0147967,7.238326,6.6145406,3.2161863,5.827663,4.2702165,2.0045724,6.3278995,8.365218,5.775132,3.8402913,4.7838273,7.962522,3.0968294,6.4461365,5.4190607
TCGA-17-Z009-01,-5.966021,1.4114171,5.760639,7.315756,4.5522256,9.552243,-1.543455,6.797679,4.9702997,5.4634986,7.950924,2.5305402,5.002605,2.8957548,3.3003237,5.1727138,2.0205376,7.2119684,6.6514325,3.2103567,5.8161826,4.247937,2.0069356,6.291996,8.368446,5.760424,3.815221,4.794869,7.9348063,3.0909472,6.4283423,5.4190373
TCGA-17-Z010-01,-5.928415,1.3751837,5.7869587,7.4314556,4.584581,9.573242,-1.5487901,6.801398,5.0496635,5.502109,7.987615,2.524378,4.95984,2.85809,3.28969,5.097371,2.0171971,7.267486,6.6389775,3.1899133,5.8734217,4.22744,2.0058525,6.4110613,8.344989,5.806217,3.7800536,4.7938685,7.9865675,3.1317844,6.3767376,5.432681
TCGA-17-Z011-01,-5.9670143,1.3570822,5.785578,7.2513337,4.549265,9.541781,-1.5760763,6.85322,5.0266256,5.548778,7.940045,2.5188575,4.917637,2.8803043,3.2824707,5.0857196,1.9633473,7.224723,6.6160145,3.2027702,5.828538,4.313764,2.0090957,6.3406067,8.346042,5.814068,3.7867296,4.7747297,7.946716,3.1178699,6.330862,5.3357444
TCGA-17-Z013-01,-5.9666815,1.3689554,5.8222456,7.3186836,4.5549436,9.515638,-1.5851219,6.8393626,5.0715895,5.551138,7.980393,2.5267162,4.9470243,2.868125,3.2287936,5.0974607,1.9784342,7.2310877,6.62242,3.192084,5.8173013,4.2732897,1.9853052,6.34984,8.365642,5.7985497,3.827826,4.7959924,7.975561,3.1475601,6.394835,5.3494544
TCGA-17-Z014-01,-5.9553027,1.4540575,5.794911,7.376809,4.5344005,9.521708,-1.5326608,6.7714624,5.034479,5.5497255,7.931044,2.6227896,5.0389214,2.8716946,3.1494231,5.073245,1.9850686,7.2500577,6.6415186,3.1224554,5.796507,4.3086867,2.0554862,6.3986983,8.447987,5.85886,3.8111627,4.781258,7.945059,3.084991,6.4905725,5.378685
TCGA-17-Z015-01,-5.943276,1.3829571,5.8000684,7.346027,4.5833287,9.515605,-1.5245667,6.7941213,5.0201616,5.523503,8.007001,2.4691956,4.9230638,2.9131382,3.331775,5.101221,2.062574,7.2372775,6.686093,3.2133837,5.8598337,4.2669563,1.9903611,6.343698,8.355237,5.7917047,3.8138149,4.822993,7.975214,3.1241596,6.346774,5.4318995
TCGA-17-Z016-01,-5.936221,1.3106997,5.814263,7.288995,4.547615,9.584047,-1.5740798,6.862479,5.0749598,5.5831203,7.945071,2.4567518,4.936835,2.8612628,3.2651672,5.072951,2.0116036,7.236732,6.6650357,3.1410155,5.856479,4.331947,2.0051093,6.40434,8.397141,5.841147,3.715001,4.758021,8.015824,3.182661,6.3775,5.4140553
TCGA-17-Z017-01,-5.900913,1.4202245,5.7306647,7.323382,4.5135994,9.445564,-1.5150794,6.7894483,5.055082,5.5276275,7.9897914,2.4789164,4.9176974,2.909018,3.2768419,5.0765166,2.0677981,7.2303834,6.6619415,3.1304314,5.873889,4.33851,2.030749,6.3105474,8.450234,5.9263988,3.7837358,4.793728,7.970394,3.162908,6.4003487,5.4115543
TCGA-17-Z018-01,-6.0385504,1.4442619,5.7642155,7.3687577,4.549579,9.594052,-1.5049306,6.7626996,4.983232,5.5753336,7.951644,2.5588593,5.0601707,2.907122,3.251635,5.1188245,2.0279148,7.2989483,6.5803657,3.2245195,5.8504224,4.3678513,1.9295104,6.419941,8.466404,5.8494334,3.898645,4.786982,7.895193,3.1012418,6.3646636,5.429617
TCGA-17-Z019-01,-5.919768,1.3325677,5.778694,7.3003154,4.534124,9.511673,-1.5970895,6.8693857,4.9996414,5.509464,7.8926034,2.5483608,4.8721657,2.8525896,3.3412938,5.1358776,1.9775028,7.2923555,6.6060395,3.203063,5.8768883,4.2884355,1.923352,6.3590126,8.325713,5.8079433,3.7900114,4.7949157,7.9204082,3.1245508,6.312983,5.3701196
TCGA-17-Z020-01,-5.9372535,1.3629179,5.8037395,7.2587,4.555666,9.573411,-1.5375066,6.844872,4.895131,5.475631,7.9199986,2.4988127,4.9400077,2.9066784,3.374303,5.1423306,2.0462132,7.239193,6.7153335,3.1666586,5.8269887,4.3204465,2.054405,6.328587,8.333098,5.739754,3.7151587,4.801353,7.975443,3.029807,6.4228354,5.476048
TCGA-17-Z021-01,-5.9356723,1.3783633,5.7667613,7.334048,4.5481997,9.493613,-1.5370202,6.810224,5.0358105,5.5552845,7.9704046,2.5244637,5.045436,2.8866367,3.209744,5.0973945,2.0053985,7.1963124,6.624839,3.0997498,5.7799816,4.3426905,2.1120012,6.3507695,8.437437,5.839244,3.7869055,4.792997,7.971541,3.0798519,6.504547,5.402282
TCGA-17-Z022-01,-5.9807134,1.382635,5.803932,7.2811522,4.529241,9.542646,-1.6097118,6.8610163,4.907292,5.4727416,7.939697,2.5591826,4.935304,2.8476868,3.3168309,5.1563983,1.9535689,7.236435,6.721767,3.1474407,5.786962,4.304545,2.0186841,6.301118,8.346802,5.8270807,3.7392623,4.8766093,7.960906,3.159729,6.3673415,5.38267
TCGA-17-Z023-01,-6.045061,1.4800084,5.8103213,7.3070126,4.5849934,9.562736,-1.5649561,6.8444324,4.9220867,5.5141745,8.0325775,2.490703,4.9864283,2.8723586,3.3347874,5.1174297,2.0579467,7.181502,6.6733284,3.1546154,5.7734876,4.361019,2.0355117,6.302255,8.389697,5.8380723,3.7425246,4.7268,8.041353,3.0690322,6.4026966,5.475361
TCGA-17-Z025-01,-5.9954066,1.3523059,5.7882853,7.2704554,4.54527,9.401987,-1.5737462,6.836656,5.0816045,5.6008677,7.9969335,2.4885445,4.9655814,2.8924646,3.3014646,5.158713,1.9564905,7.193551,6.6128387,3.1977406,5.776226,4.3319325,2.0362692,6.284682,8.416576,5.80956,3.8610852,4.759095,7.9502177,3.153317,6.442061,5.35424
