Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-55-6981-01,5.8540254,4.416053,3.615462,3.8492882,4.6276703,6.5698867,4.3419843,3.9122338,5.750801,5.287429,5.0957546,6.6317787,2.7065547,3.461266,4.406104,3.7142248,4.325062,5.6013565,6.233063,3.969193,6.552153,6.1192865,5.1865396,5.1847954,5.1078625,5.0294294,3.6026268,6.1823335,5.48277,3.6955976,4.1722693,5.6019235,7.348995,3.5572622,3.1081107,4.2287884,4.421241,4.098627,5.2585793,4.5277677,5.145501,4.9597135,3.167553,7.0670342,5.680411,4.1000643,6.511757,5.22494,6.180948,4.210195,5.636101,4.683871,5.0243473,5.4619174,5.167497,4.702996,7.3652577,4.255465,5.777424,5.0466065,5.6299305,5.856145,3.51733,2.8790977
TCGA-73-4668-01,7.1197014,4.1086655,3.6971233,4.2167974,4.537956,6.619343,4.415481,3.9681628,5.9314084,5.3655734,4.948334,6.754978,2.8579385,3.3126338,4.378146,3.4604232,4.393916,5.6704535,6.271747,4.0644364,6.44586,6.0363064,5.240137,4.8419805,5.392394,5.380111,3.3010828,6.101614,5.7058134,3.4476466,4.3816705,5.5171556,7.1649814,3.8506584,2.9206147,3.9091263,4.506531,4.209328,5.5200195,4.2004247,5.1990037,5.0512533,3.0790236,7.1222305,5.755133,4.1202345,6.60985,5.4996676,6.4017253,4.2340302,5.6508465,4.668256,4.7762346,5.45338,5.0885572,4.7516046,7.1507344,4.23956,5.7574277,4.971025,5.630917,5.9862847,3.7361524,3.0248532
TCGA-64-1681-01,2.275788,5.547879,3.6927938,2.9033194,5.781806,5.9159107,4.4093714,4.3395715,5.2274246,4.5040774,5.62496,5.5232797,2.81615,3.3471842,3.6100364,4.3134055,4.9400215,5.507244,5.870572,3.023746,6.851099,6.195377,5.317206,6.051164,5.567397,4.560913,5.344894,5.631124,5.212361,4.353609,4.2256093,5.2498164,7.4740534,3.780247,3.0310547,4.796595,3.9868858,4.077775,5.168761,4.5449815,5.4013367,4.964344,3.1551673,7.236695,4.511057,4.2854915,6.658729,4.6360645,6.1667223,3.8038764,5.5734553,5.049907,4.8335123,5.4427166,5.365373,4.9907303,6.7400546,4.693992,5.369651,4.936709,5.2373424,4.8121076,3.7549644,2.419114
TCGA-44-2655-01,3.9641085,4.7799983,3.6270797,3.5274007,4.945098,6.2022223,4.064268,4.0881696,5.5941277,4.995995,5.5070643,6.2500334,2.7498887,3.5141733,4.1894464,4.0727,4.5534344,5.474688,6.124533,3.6214314,6.6511984,6.2613306,5.121075,5.6631465,5.4224195,4.8865848,4.1439962,6.015269,5.2829113,3.820987,4.0522943,5.722161,7.4064345,3.531106,3.031208,4.3830147,4.2499766,4.2164655,5.2492037,4.618681,5.3993974,4.9251328,3.1209846,6.988515,5.246325,4.2095785,6.435632,5.051905,5.9647384,4.1316013,5.7124043,4.6900215,4.871933,5.409909,5.4238696,4.825797,7.131791,4.4579473,5.67428,5.0740714,5.671946,5.5820847,3.405644,2.656316
TCGA-75-7025-01,1.4926549,5.7239714,3.7141676,2.7210941,5.9338236,5.868508,4.2031984,4.2853804,5.246084,4.513143,5.9144387,5.297293,2.883612,3.4503398,3.5360878,4.5502596,5.0411325,5.2785683,5.701195,2.9235117,7.088811,6.258754,5.314479,6.1990204,5.4953732,4.3051276,5.624424,5.71089,5.156742,4.5669494,4.2211075,5.3901367,7.508131,3.4532518,2.9639409,4.8242836,3.9392014,4.009868,5.0350676,4.654685,5.547334,4.968046,3.1901886,7.1044283,4.6301928,4.2388353,6.5761213,4.415595,6.03083,3.682529,5.457866,5.160311,4.884406,5.6152077,5.3429155,5.223027,6.7547517,4.595785,5.284282,4.9537554,5.125012,4.8815246,3.6937165,2.174309
TCGA-55-8513-01,2.0624187,5.4619284,3.5687501,2.9380748,5.903521,5.9109674,4.2628026,4.2448683,5.2718606,4.4394507,5.648257,5.340981,2.811122,3.286378,3.4691908,4.488336,4.9629483,5.2615623,5.6457467,2.9622827,6.9408364,6.017068,5.2612953,6.194803,5.422037,4.3027005,5.4155803,5.620055,5.058069,4.654647,4.173311,5.4037027,7.516285,3.623314,3.030682,4.6564307,3.9455075,3.919471,4.90106,4.7501793,5.3784146,4.903888,3.0645595,7.2706037,4.8305855,4.1473017,6.5655446,4.4121275,5.911076,3.7071507,5.4586897,4.9047546,5.03935,5.5547886,5.5025563,5.163162,6.851369,4.6472893,5.3977256,5.076701,5.32996,4.826241,3.6037035,2.3241124
TCGA-55-8514-01,5.133939,4.698801,3.5320196,3.7412112,4.772705,6.528056,4.241356,3.989949,5.7586665,5.284209,5.155963,6.556651,2.7484894,3.5572512,4.3502965,3.8137598,4.3268356,5.571844,6.165343,3.8437638,6.590781,6.0864134,5.1679125,5.3140974,5.303484,4.8811927,3.6927807,6.0650077,5.5289164,3.7356281,4.241908,5.851476,7.3877273,3.5082164,3.008511,4.164996,4.3768578,4.143133,5.167497,4.487313,5.361825,4.9133615,3.0127158,7.0104365,5.6178093,4.2909775,6.4361506,5.193408,6.092326,4.2622056,5.6197457,4.6603823,4.921512,5.4852505,5.3297153,4.8907046,7.354771,4.320751,5.732535,5.1626716,5.629936,5.9219956,3.5164082,2.8152413
TCGA-49-4487-01,6.2339005,4.4056926,3.5784562,4.0481143,4.780544,6.5551076,4.328395,3.8619578,5.8296022,5.3257046,5.10902,6.6232324,2.8729398,3.448139,4.293731,3.6823144,4.3886976,5.641338,6.199381,3.9312856,6.5689893,6.056714,5.2219467,5.0541773,5.448409,5.2145095,3.4739206,6.0136676,5.7353854,3.5838077,4.3630886,5.7069874,7.264716,3.7447302,2.8595712,4.0041957,4.4155884,4.1372423,5.3556824,4.235339,5.320561,4.9561906,2.973322,7.041972,5.626209,4.214378,6.5232315,5.368176,6.197661,4.264931,5.6493654,4.668843,4.800924,5.4605336,5.2553263,4.8761015,7.21312,4.2181654,5.721539,4.9963446,5.5591664,5.934294,3.7160656,2.9157195
TCGA-17-Z026-01,7.4862027,3.8858447,3.839271,4.273892,4.611806,6.615521,4.4673123,3.8274999,5.9222608,5.304254,4.998775,6.7536902,2.902,3.1040118,4.299061,3.4594998,4.4644628,5.727377,6.2327843,3.9599183,6.339597,6.0803933,5.229534,4.793144,5.0033646,5.523591,3.5688112,6.1297336,5.6778297,3.6665301,4.280758,5.1260304,7.297278,3.9268162,3.1871364,4.1202073,4.494177,4.0964475,5.5710206,4.2694006,4.9326286,4.969725,3.3134165,7.1328974,5.6152053,3.9111633,6.7572517,5.2906246,6.5139003,4.0105696,5.7100954,4.739804,4.9138,5.427745,4.9024897,4.556315,7.1411157,4.2224584,5.7872615,4.8745823,5.6719127,5.7153444,3.7947512,3.064586
TCGA-78-7539-01,6.6725025,4.206336,3.6602433,4.1031704,4.5888143,6.5161057,4.316819,3.9723248,5.8239226,5.3249273,5.025279,6.6707625,2.7609742,3.3717089,4.4003677,3.592138,4.4148006,5.738647,6.313687,4.040095,6.521211,6.088467,5.179314,5.014972,5.40133,5.213717,3.4278598,6.145484,5.58479,3.4962654,4.3296685,5.6060195,7.104531,3.7906966,2.9718397,3.9366453,4.3508296,4.1804094,5.4673953,4.26801,5.23282,5.025857,3.0373838,7.106867,5.7243776,4.1555867,6.530402,5.4209275,6.317174,4.255516,5.617294,4.6789618,4.805387,5.403982,5.1979485,4.702037,7.1925974,4.2157454,5.784523,4.9335003,5.6016355,5.9656615,3.6282399,2.975735
