	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
vascular_invasion_V	-0.021459004	0.022370327	0.09373492	0.025435362	0.41237637	-0.109343685	-0.1474557	-0.09822705	-0.050937664	-0.25163522	-0.25472862	-0.23097803	0.030662552	-0.08283627	-0.06588078	0.38322443	-0.15046409	0.026410421	-0.26259166	0.18175133	0.107812025	0.36929473	-0.14193453	0.27245408	-0.008295565	0.2630248	0.18750402	0.058698572	0.14935514	0.15494275	-0.21288224	0.4552188
perineural_invasion_Pn	-0.33689862	0.1261369	-0.19876406	-0.08150652	0.3457943	0.1286437	0.08374675	0.026278533	0.40960976	-0.32874203	-0.0753579	-0.07630852	-0.063350104	0.046466142	-0.05271662	-0.255807	0.3664366	-0.3607782	-0.35437763	0.04712376	-0.03417847	-0.029049702	-0.35517442	0.102724254	0.28528282	-0.091359094	0.31268042	-0.1256639	-0.3973226	0.084471	-0.12925208	-0.17578587
carcinoma_in_situ	-0.16894743	-0.10794696	0.1882587	-0.2218928	0.18168819	-0.023597404	-0.04231645	0.28508937	-0.09349455	0.0709029	-0.36022165	-0.10192347	0.12382802	0.06142572	0.1264021	0.24762638	-0.12732786	-0.61246794	0.3952683	-0.22363144	-0.63090974	-0.21527405	0.57065535	-0.19877216	-0.05944684	-0.1852151	0.02065471	-0.14061251	-0.18510279	0.13225894	0.21214017	-0.0041826125
primary_tumor_site	-0.036550887	-0.07238968	0.25171268	-0.15989709	0.1766159	-0.11884061	-0.096237585	-0.062831335	-0.005817219	0.09696039	-0.42246202	-0.015210061	0.20401154	-0.051262546	-0.16212112	0.3793175	0.15132742	0.105915144	-0.22534011	-0.25021917	0.16640797	0.46907717	-0.19704762	0.08219301	0.14047138	-0.07248727	0.047052573	0.074132964	0.22905819	-0.30241647	0.21218525	0.29298437
grading	0.022103313	-0.50087345	0.2197236	0.1430408	-0.04902961	0.2653283	0.14014578	0.2230816	0.20408304	0.11250774	0.14731908	0.20938729	0.20260757	0.32171202	0.21550892	0.29111302	0.104180835	-0.26073727	0.22171517	-0.29570752	-0.08720032	-0.16672234	-0.19908972	0.31322584	0.33060762	0.09967127	0.10978367	0.26364267	-0.25088724	-0.017456925	0.1507532	0.26086092
hpv_association_p16	0.17024887	-0.3464742	0.21595293	0.11584216	0.28334537	-0.3033054	-0.17868407	0.02127326	-0.029821005	-0.1643375	-0.06267583	-0.20167659	0.23177007	-0.33819273	0.34664866	0.31946605	0.03838858	-0.43954608	0.21782854	-0.22063155	-0.045753215	-0.14267656	-0.027889365	-0.26593307	0.17747745	0.23590037	-0.28288686	-0.4471248	-0.214245	0.2679797	0.03049291	0.31501305
resection_status	-0.37564817	-0.040563367	-0.026088536	-0.1673227	0.26524425	0.038473688	0.105849825	0.1291318	-0.122719415	-0.17213485	-0.3162252	-0.27425256	0.16896442	-0.04280399	-0.07970277	0.354765	0.20593415	0.133607	0.40479007	0.38862374	-0.21551365	0.13573755	0.16321877	0.12371854	-0.1711289	0.05137364	0.27564865	-0.23371334	-0.28249884	-0.28831667	-0.12199117	0.022729136
resection_status_carcinoma_in_situ	0.0021706058	0.07412278	-0.21361572	-0.15330786	0.06773102	-0.21209636	-0.17980096	0.27747956	-0.15540396	-0.27231485	-0.56037015	-0.28335965	0.14172307	0.14514211	-0.2169257	0.28204164	0.08404611	-0.39638844	0.17163914	-0.32403004	0.014835282	-0.23366874	0.4221947	-0.13356116	-0.022184528	-0.07049759	0.013572335	0.007306588	0.22157714	-0.41465876	0.07887827	0.3380063
histologic_type	0.038332626	0.16844627	0.20730174	-0.009827016	0.28920966	-0.41632915	-0.110204786	0.19428433	0.27210656	0.3744569	-0.07993409	-0.15707539	0.12949312	-0.1909956	-0.25852886	0.15502597	-0.35881612	-0.3725763	0.14854322	0.24126095	-0.053177647	-0.11364844	-0.20074576	-0.28458628	0.20270126	-0.077431664	0.19431932	0.27711877	-0.07211321	0.22284336	-0.3169975	-0.13841558
number_of_positive_lymph_nodes	-0.104497604	0.18973356	-0.1542827	-0.16403946	0.13176239	-0.03993457	-0.0851861	-0.34896886	0.23567255	-0.015911909	0.048755072	0.31939772	-0.20867741	-0.5232307	-0.34097838	0.26685363	-0.12904508	0.05714052	0.037466567	-0.266476	-0.015812447	-0.24647725	-0.424608	-0.10697765	0.3082127	0.1803345	0.012631053	0.12442564	0.0049163555	0.1446981	-0.17922041	0.06572793
infiltration_depth_in_mm	0.15103202	0.11838727	0.17257582	-0.2968173	-0.1857589	-0.119517304	0.20600016	-0.03390717	-0.119079635	-0.13391805	0.11541357	0.012107232	-0.13535212	0.22669587	0.2573831	-0.032397453	0.03488447	0.11989205	-0.06773514	0.13868977	-0.23980102	0.120830245	0.012505617	0.103309534	0.059312224	0.062406916	0.1759308	0.26073706	0.013897099	0.3252229	-0.030092381	0.21580918
pT_stage	-0.08749647	0.15570107	-0.23257567	0.07778164	0.11778941	-0.11650939	0.20274156	-0.22926667	0.053664047	0.109635554	-0.3166314	-0.1558296	-0.08422939	-0.43346334	0.10151496	-0.15836158	-0.017945215	0.07494757	-0.2797394	0.25961253	0.22099003	-0.25024495	-0.056089077	-0.062149562	0.22193506	0.17450787	-0.07503035	0.24999595	0.010582562	0.14710097	0.01938957	0.261095
pN_stage	-0.14392172	0.30455527	0.1286151	-0.35535705	-0.053443465	-0.34277564	-0.1297204	0.25345376	-0.028256709	-0.16039765	-0.03058924	0.3755884	0.16296564	0.21094365	-0.33884338	0.023648828	-0.07020118	0.14661337	0.22381589	0.10729343	0.3738722	-0.15377113	-0.24922931	0.21311796	0.26401478	0.24875051	0.04891067	-0.29605955	-0.042369884	-0.16492464	0.24873672	0.053606156
cd3_z	-0.015855068	0.41887808	-0.1533684	-0.054186564	-0.17058054	0.045509666	0.26153874	-0.26194718	0.034894295	-0.24576662	0.080325745	0.32441148	-0.14343622	0.47903213	0.045504197	-0.5535509	0.14218733	0.1002973	-0.32263282	-0.3308736	-0.0025638642	-0.034488935	0.09327518	0.04247299	0.04384021	-0.13094015	-0.075441785	-0.3164677	0.26812413	0.021303585	0.583569	0.13084577
cd3_inv	-0.28505445	-0.091191545	0.24025367	-0.10630308	-0.18931176	0.10930188	0.08770392	0.12174565	0.21922755	-0.35594907	0.26461947	0.1982164	0.275621	0.074403934	0.31011093	0.20674919	-0.17442992	-0.087265514	-0.119270116	-0.4464727	0.11541193	0.122972436	0.32319236	0.061302397	-0.14181173	0.0057680104	0.34723556	0.20257825	0.076765224	-0.32805827	-0.40348744	0.20772466
cd8_z	0.12589246	0.18190205	-0.15038659	-0.25127888	0.016798478	0.18468907	-0.08114877	0.2793164	-0.19789949	0.41553256	-0.05944296	0.3155163	0.049069736	0.19172436	-0.26964316	-0.12732147	0.28864044	0.09309766	0.08085961	0.023732048	-0.019398432	0.07288553	-0.055695023	-0.22719619	0.1410314	-0.12641731	0.020520955	0.35124004	0.22104567	-0.32422778	-0.085102044	-0.0321748
cd8_inv	-0.061317727	0.21551488	-0.14441684	-0.43935168	0.0041209487	0.31413767	-0.15830238	-0.25728437	0.06763761	0.17078497	-0.5050318	0.22137392	-0.019333959	-0.19957249	0.33643508	0.08427124	0.14399974	0.13765898	-0.069654815	0.28075686	-0.17770612	-0.37874785	0.21155919	0.1447482	0.2617435	0.16586852	0.06452387	0.28173584	-0.4071941	-0.1962049	-0.053375613	-0.21278222
