	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
c138	-0.08205062	0.18187165	0.23006147	0.07593414	-0.03353312	-0.32627353	0.37235957	0.0065454976	-0.24272843	-0.12513174	0.12908687	-0.22569871	0.063249126	-0.11564006	-0.11466518	0.29887217	-0.059887376	0.02048072	0.31321764	0.3352948	0.27820668	-0.09206527	0.3210354	-0.16073628	-0.17735277	-0.27897564	-0.24015634	0.027333066	-0.0020476778	0.183272	0.33048457	-0.17045382
c139	0.0105982665	-0.2237888	0.17971526	0.0834747	0.15714	0.17086402	0.103130825	-0.32419083	0.25544283	-0.09781683	-0.21682335	0.24243893	0.24154125	0.03255294	-0.06612288	0.12931916	-0.18251769	-0.10584934	0.16337863	-0.071940795	-0.029382823	0.1747158	0.042708665	-0.08417786	-0.10166248	0.21564762	-0.31186318	0.0983968	-0.28504175	-0.2095555	0.2766754	-0.06243119
c148	0.24805291	-0.1406986	-0.37138492	-0.30007058	0.06116354	0.12682223	-0.18215862	-0.0019341226	0.18815109	-0.23053259	-0.072856836	0.21051893	0.050769314	-0.21336678	0.02614444	0.17378215	0.23300992	0.08367975	0.10774898	0.0964457	-0.3987519	0.18112962	-0.480179	0.047978368	-0.15792541	0.050778903	-0.27247757	-0.1042141	-0.07319049	-0.12792578	-0.1618129	0.07935827
c320	0.365179	-0.05042217	0.37964568	-0.004292342	-0.26969776	-0.32595918	-0.084035195	0.13464804	0.02198083	-0.35093307	0.18881229	-0.22715141	0.09649327	0.09245517	-0.3537341	0.27661613	-0.20402618	0.13734286	-0.0009920724	0.14265949	0.12360935	-0.040523928	0.23194207	0.086972095	0.09595131	-0.2103772	0.09383602	0.27632833	-0.22030044	0.075645916	0.36034176	0.28913432
c321	-0.043732543	0.35623914	-0.31798378	-0.1754611	0.20604168	-0.15366818	-0.10869309	0.009940905	-0.023438206	-0.05175756	-0.05228715	-0.078987755	0.1494225	-0.27148655	-0.15159601	-0.13960071	-0.23872495	0.10757766	-0.28745767	-0.18623848	-0.22090168	0.0787525	0.004500672	0.25849068	0.18367888	0.33249724	-0.08811539	0.23701803	-0.055597987	-0.0025841985	-0.18990892	0.26196775
c322	0.037986062	0.07257633	-0.38349208	-0.05170813	0.16436343	0.05615922	0.14597699	0.21312723	0.24882354	-0.1949548	-0.022283262	-0.07680399	-0.19818452	-0.30520338	-0.2585023	0.23246554	-0.20409417	0.050053418	-0.34547344	0.28674227	0.079900555	-0.20694178	-0.09841689	0.11488479	0.19022448	0.17135417	0.192656	0.3235482	-0.030202283	-0.052023634	0.16406745	-0.15135656
c323	-0.20028473	-0.08404374	-0.1773652	0.10439189	0.4044553	-0.41455618	0.093052685	0.24061996	0.22845396	0.11394543	-0.14392333	-0.0074870693	-0.0343877	-0.12260304	-0.26064506	0.24842753	0.023664787	-0.27520916	0.013490606	0.2380791	-0.2395351	-0.020462083	-0.34185463	0.048596326	0.32575986	0.43248537	-0.07821268	0.34003088	0.029191637	0.1410595	0.22755641	0.18266991
c328	0.19941172	-0.17977963	0.34192666	0.18850623	0.053859573	0.34170032	0.14074914	-0.08790743	-0.32244012	0.035151646	0.15212555	-0.2438162	0.022259459	0.14694132	0.021241529	0.15743546	-0.14904228	-0.2501594	0.32701203	0.13341631	0.3154844	-0.05702426	0.31627715	0.21639511	0.02566374	0.04294567	0.1308726	0.27831787	-0.26036748	-0.19778198	0.32508957	0.21448237
c329	0.25168797	0.16525799	0.16647986	-0.13633294	0.022475455	-0.04162529	0.020908928	0.25316527	0.012166878	0.10331487	-0.05402055	-0.39807597	0.18410596	0.2081014	-0.34102815	-0.07954491	0.097398445	0.12410166	0.19357927	0.19955464	0.035446595	0.16141844	-0.4560008	-0.05901614	0.09514962	0.16288228	-0.25386086	0.14184964	-0.12617964	-0.15131155	-0.029745147	0.10939112
c770	0.25460497	0.016490476	0.1935284	-0.041590504	0.027469058	0.0816457	-0.011331014	-0.22461691	-0.11537956	0.041135352	-0.17395668	-0.35808244	0.4558191	-0.21394177	-0.017473377	0.13241519	0.06491912	-0.0054314225	0.0243867	0.21280976	-0.15284812	-0.38491738	0.3863817	0.15467371	-0.14868355	0.014150491	-0.24394402	0.24433835	-0.13521814	0.14222027	0.34395006	0.043156374
c778	-0.05062759	0.32774645	-0.2750293	0.21307522	0.41029948	0.007984501	0.25682607	0.18964037	0.4916259	-0.12920901	0.018560385	-0.3901542	-0.11014396	0.08692002	-0.32534745	0.21614498	0.18594675	-0.24102898	-0.44929826	-0.19046792	-0.17135057	0.15045056	-0.44489977	-0.008969518	-0.020572878	0.056363698	0.05640162	-0.2416131	-0.16907437	0.011407102	0.27608463	0.04773659
c800	-0.08246603	-0.018481053	0.14073919	-0.07847283	0.07298449	-0.31487113	0.07941654	-0.038457777	-0.17663127	-0.24471103	-0.15815766	0.015718995	0.2720981	-0.29462326	0.13081878	0.32409123	-0.14912377	-0.0005126595	-0.2794915	0.29978785	-0.1362628	-0.010068001	-0.15942882	-0.1696949	0.24527603	0.45812047	0.11976626	0.2231059	0.057524636	0.0664095	-0.10006126	0.11985237
d000	-0.038501363	0.2928727	0.018158844	0.162231	0.3292496	-0.34088722	-0.041980065	-0.07923136	-0.17318065	-0.28028673	-0.34004813	-0.26865554	-0.1348083	-0.060170833	0.027320309	0.25589186	-0.20047517	0.06712055	-0.12862374	0.028372342	-0.038188893	-0.08429377	-0.32773706	-0.03290831	0.2758652	-0.07253811	-0.055577062	0.21722536	-0.3175765	0.28465098	-0.11726873	0.25688347
d370	0.21825287	0.2404587	0.40867665	0.021945184	0.24535884	-0.16994561	0.002469312	0.35991213	0.1909607	-0.15544836	-0.06011857	-0.13904029	0.19758745	0.13599299	0.061423738	-0.24964638	0.23886739	-0.4355589	-0.07942438	0.18814366	-0.2735862	-0.2608367	0.2622501	-0.34845808	0.017368129	-0.057187453	0.0687744	-0.17062904	-0.023278208	0.33591852	-0.1823462	0.17831226
d380	-0.23398249	-0.048982717	-0.39977723	-0.25781226	0.17283422	-0.039970126	0.29617813	0.29755098	-0.08865193	0.14013694	-0.1570828	-0.2744685	0.26383683	-0.033408597	0.034489106	0.11670035	-0.24863514	-0.103583455	0.030309534	0.25208274	0.084451914	-0.09874231	0.014555227	-0.026522167	-0.107219234	0.13364153	-0.11937825	0.2107536	-0.23060642	-0.14584365	0.31721002	-0.06264849
r590	0.2687849	0.07755257	0.11946862	-0.111713685	0.120104775	-0.07673475	0.00060458895	0.25215858	-0.15123574	-0.16115896	-0.30274484	-0.2522125	0.052297894	-0.06147719	0.042394403	-0.060512878	-0.025327735	-0.32728553	-0.011086858	0.21718338	-0.3569129	0.16818692	0.15270674	0.13798656	-0.015354409	0.15802985	-0.059125654	0.3378396	-0.2212219	-0.047299363	0.07505739	-0.017797004
r599	0.1501157	0.00521227	-0.30663362	0.16402398	-0.08754793	0.07928583	-0.14095192	-0.12627241	-0.021917509	-0.0762428	-0.3338037	-0.18294495	-0.08225873	0.108259976	-0.27968606	0.12846501	-0.31128043	0.036532704	-0.33798945	0.07106548	-0.30522755	0.18434702	-0.24386747	-0.21718906	-0.11919669	0.2630225	-0.13999525	0.09272276	-0.2881309	0.1456527	-0.19553562	0.1685447
t810	0.111339584	0.12012369	-0.18127468	0.19490504	0.225948	-0.36738566	0.20959543	0.27981853	0.2641061	-0.110000476	0.15937296	0.12844576	0.33049902	-0.20335843	-0.080063105	-0.14217053	0.030159328	0.022611326	0.09461317	0.19444588	-0.16019298	0.17946956	-0.4857144	-0.17581244	0.1398892	0.19041899	0.14885528	-0.1629296	-0.22539599	0.2359035	0.061952826	0.3591246
perinodal_invasion	0.009225388	0.26404178	0.22659932	-0.10912327	-0.11313919	0.1539916	0.17677891	-0.21484	-0.22384004	-0.31224763	0.23335876	0.17719696	0.30917728	-0.18393797	0.22961964	0.21133317	0.16108243	0.082131185	0.38118687	-0.21100318	0.018507857	-0.28791112	-0.077392235	0.18669525	-0.08003372	-0.1910995	0.039937932	-0.14833337	-0.29880914	0.024435256	0.17622785	0.11123685
lymphovascular_invasion_L	0.38513866	-0.09792212	-0.16416068	-0.2828346	-0.30608067	-0.13086468	0.28147292	0.00891207	-0.13232717	-0.24269393	-0.11677556	-0.19368641	0.017161062	-0.0069689197	0.09155298	0.2343868	0.3095881	-0.23537023	-0.05134842	-0.16311227	-0.25367224	-0.16032116	0.09132476	0.14240205	-0.1310003	-0.41153473	-0.34042794	0.16971543	0.22744152	0.2326446	-0.113052115	-0.07318008
vascular_invasion_V	0.005473989	0.19024628	-0.17382935	-0.051010042	-0.12727167	-0.31701297	-0.22534221	0.26150456	-0.3673769	-0.09748985	0.13096988	-0.101671875	-0.25344807	0.20498076	-0.007236199	-0.1121877	-0.1056249	-0.33829454	-0.026117578	0.14069597	0.014138586	-0.1044987	0.11341214	-0.07996514	0.13497186	-0.23415686	-0.29713577	-0.28949675	0.3698884	0.37524065	-0.0165062	0.031493478
perineural_invasion_Pn	0.37562075	-0.1763572	0.058721207	-0.04763315	-0.05560459	-0.0070850006	-0.24415152	0.18718979	-0.48635134	0.20524701	-0.056502838	-0.33975816	-0.19628356	-0.30256787	-0.16244021	0.06321923	-0.09440679	0.009160276	0.23631038	0.21158817	-0.0936356	0.11580728	0.11848184	-0.3010184	-0.1765083	-0.21676749	-0.2719299	-0.21113922	-0.033186194	0.12583321	0.19397478	-0.0097742425
carcinoma_in_situ	0.12739095	-0.042330094	0.2543779	0.17361891	-0.055435777	0.21296734	0.25337932	-0.22193025	-0.3546367	-0.37238118	0.14401403	-0.20998071	0.005868596	-0.3595906	0.19685987	0.02920433	0.32079843	0.0056867613	-0.10085551	-0.22687498	0.3723647	-0.050683003	0.3226327	-0.12273176	0.28692606	-0.15127756	-0.20733328	0.100065455	-0.25218025	0.053739626	0.23978549	0.23789044
