method,acc_cat,mae_cont,na_ratio,run,dataset
POME,0.6417910447761194,39.12828279264158,0.01,3.0,TCGA-LUAD
POME,0.6694573643410853,267.0316694059525,0.1,7.0,TCGA-LUAD
POME,0.6652974856858352,323.56868932843537,0.25,6.0,TCGA-LUAD
POME,0.6639159789947486,308.7444900312788,0.25,8.0,TCGA-LUAD
POME,0.6468933616702087,326.7348838694712,0.5,0.0,TCGA-LUAD
POME,0.6443970920030083,356.575269654292,0.5,6.0,TCGA-LUAD
POME,0.6983627204030227,257.09163871128646,0.05,5.0,TCGA-LUAD
POME,0.6752275277396833,261.6425369368824,0.25,4.0,TCGA-LUAD
POME,0.6542236024844721,330.57557455546606,0.5,4.0,TCGA-LUAD
POME,0.6688493919550982,308.10549522698955,0.1,3.0,TCGA-LUAD
POME,0.6792452830188679,156.4896591138293,0.01,9.0,TCGA-LUAD
POME,0.6781750924784217,238.37973440339192,0.05,8.0,TCGA-LUAD
POME,0.6638550452983443,367.9878970505846,0.1,2.0,TCGA-LUAD
POME,0.6882716049382716,479.46870153305576,0.01,8.0,TCGA-LUAD
POME,0.66051891216005,293.2498542060031,0.1,0.0,TCGA-LUAD
POME,0.6816193927277271,325.06472192263453,0.25,7.0,TCGA-LUAD
POME,0.660436137071651,434.9206907957595,0.01,5.0,TCGA-LUAD
POME,0.6751237623762376,443.84163450988416,0.05,0.0,TCGA-LUAD
POME,0.6477710170122936,330.2663888462497,0.5,5.0,TCGA-LUAD
MissForest,0.5838509316770186,245.0957637557588,0.01,7.0,TCGA-LUAD
MissForest,0.5077881619937694,293.33596534563804,0.01,5.0,TCGA-LUAD
MissForest,0.5907692307692308,333.5735836156342,0.01,4.0,TCGA-LUAD
MissForest,0.5953828968598734,266.30423159812426,0.25,9.0,TCGA-LUAD
MissForest,0.5896637608966376,235.3092946072209,0.1,8.0,TCGA-LUAD
MissForest,0.5961958216401622,246.37897416498765,0.1,3.0,TCGA-LUAD
MissForest,0.5924764890282131,130.20086051220653,0.01,1.0,TCGA-LUAD
MissForest,0.5805432722678459,183.2294899996569,0.05,7.0,TCGA-LUAD
MissForest,0.5863565891472868,204.9953443447972,0.1,7.0,TCGA-LUAD
MissForest,0.5954389253358325,296.82839614692506,0.1,2.0,TCGA-LUAD
MissForest,0.6122071516646116,240.9331887059912,0.05,4.0,TCGA-LUAD
MissForest,0.5946852104805662,272.0246629972203,0.5,5.0,TCGA-LUAD
MissForest,0.5552238805970149,26.392240578816704,0.01,3.0,TCGA-LUAD
MissForest,0.6068986948415165,191.6085212913544,0.1,5.0,TCGA-LUAD
MissForest,0.5916682304372303,277.849006583257,0.5,8.0,TCGA-LUAD
MissForest,0.5961719485409476,172.714934001283,0.1,9.0,TCGA-LUAD
MissForest,0.5966646077825818,178.6623151144513,0.05,2.0,TCGA-LUAD
MissForest,0.6076826196473551,250.50458406575987,0.05,5.0,TCGA-LUAD
MissForest,0.59,125.84827339987858,0.05,6.0,TCGA-LUAD
MissForest,0.6045792079207921,330.09099597179096,0.05,0.0,TCGA-LUAD
MissForest,0.5525525525525525,235.77334793628776,0.01,0.0,TCGA-LUAD
MissForest,0.5883744087627583,262.567828503205,0.25,6.0,TCGA-LUAD
MissForest,0.595120733761777,277.6105408312661,0.5,2.0,TCGA-LUAD
MissForest,0.5898721484081223,290.66218603914706,0.5,6.0,TCGA-LUAD
MissForest,0.600994406463642,220.8580045059979,0.05,1.0,TCGA-LUAD
MissForest,0.5877719429857464,248.13054539243484,0.25,8.0,TCGA-LUAD
MissForest,0.6037735849056604,115.83811414862896,0.01,9.0,TCGA-LUAD
MissForest,0.600375234521576,302.29409557351903,0.1,6.0,TCGA-LUAD
MissForest,0.5913239154894362,266.8493978051752,0.5,0.0,TCGA-LUAD
MissForest,0.591047939654635,286.24511932331063,0.5,3.0,TCGA-LUAD
MissForest,0.583307283526102,205.4310958563766,0.1,0.0,TCGA-LUAD
MissForest,0.629746835443038,147.95544036943156,0.01,6.0,TCGA-LUAD
MissForest,0.5967701552328493,282.23876279377845,0.25,5.0,TCGA-LUAD
MissForest,0.5939446797906803,255.00051304273623,0.25,0.0,TCGA-LUAD
MissForest,0.5807644882860666,147.1314545524298,0.05,8.0,TCGA-LUAD
MissForest,0.5942219715485367,287.0417684033227,0.5,1.0,TCGA-LUAD
MissForest,0.5885799775589079,209.0885762401849,0.25,4.0,TCGA-LUAD
MissForest,0.5959790862691398,263.56018633125245,0.5,9.0,TCGA-LUAD
MissForest,0.5993710691823899,199.2554305377461,0.05,9.0,TCGA-LUAD
MissForest,0.5944099378881987,283.69819161609075,0.5,4.0,TCGA-LUAD
MissForest,0.5908240867722229,276.39718149380843,0.25,2.0,TCGA-LUAD
MissForest,0.59104589917231,244.44079737786967,0.25,1.0,TCGA-LUAD
MissForest,0.5864197530864198,207.7450281194545,0.01,8.0,TCGA-LUAD
MissForest,0.5977125808055693,239.6806987221752,0.25,3.0,TCGA-LUAD
MissForest,0.5912358567231356,278.962305789054,0.5,7.0,TCGA-LUAD
MissForest,0.589631480324797,231.09789449715413,0.05,3.0,TCGA-LUAD
MissForest,0.6222910216718266,130.37849962457443,0.01,2.0,TCGA-LUAD
MissForest,0.5936527691350342,320.9397206143168,0.1,4.0,TCGA-LUAD
MissForest,0.6053979757590904,283.1679719359844,0.25,7.0,TCGA-LUAD
MissForest,0.5805231641979199,299.22373179151424,0.1,1.0,TCGA-LUAD
KNN,0.5293390982087709,219.41597864603423,0.05,2.0,TCGA-LUAD
KNN,0.4932182490752158,321.0400441728568,0.05,4.0,TCGA-LUAD
KNN,0.5356037151702786,276.10188179220785,0.01,2.0,TCGA-LUAD
KNN,0.5220381369177868,187.75231604260776,0.1,0.0,TCGA-LUAD
KNN,0.5015015015015015,329.9374694355651,0.01,0.0,TCGA-LUAD
KNN,0.5635203602927379,304.2356091236465,0.5,8.0,TCGA-LUAD
KNN,0.5235148514851485,394.7993734758456,0.05,0.0,TCGA-LUAD
KNN,0.5392083644510829,247.37339142330205,0.25,6.0,TCGA-LUAD
KNN,0.4892307692307692,328.18320958627936,0.01,4.0,TCGA-LUAD
KNN,0.5366386030558155,259.54671827254106,0.1,3.0,TCGA-LUAD
KNN,0.5403726708074534,348.6706528602329,0.01,7.0,TCGA-LUAD
KNN,0.574655269233169,319.1562458188826,0.5,2.0,TCGA-LUAD
KNN,0.5146783260462211,240.87296262675804,0.05,3.0,TCGA-LUAD
KNN,0.5682501880170469,307.017887924559,0.5,6.0,TCGA-LUAD
KNN,0.5286568651881386,252.86999073231576,0.25,0.0,TCGA-LUAD
KNN,0.5728245985310594,297.5015390234942,0.5,9.0,TCGA-LUAD
KNN,0.5560248447204968,296.3496077921217,0.5,4.0,TCGA-LUAD
KNN,0.5727848101265823,249.5031687165516,0.01,6.0,TCGA-LUAD
KNN,0.5156347717323327,241.22548759866245,0.1,6.0,TCGA-LUAD
KNN,0.5271163196608901,232.2332508486744,0.25,2.0,TCGA-LUAD
KNN,0.5333499563645431,215.1123795087565,0.25,4.0,TCGA-LUAD
KNN,0.5604800900168782,307.3717183443594,0.5,7.0,TCGA-LUAD
KNN,0.5708496976497724,289.8356351142706,0.5,3.0,TCGA-LUAD
KNN,0.5097915350600126,239.68865125897256,0.05,7.0,TCGA-LUAD
KNN,0.5260022340821646,257.9915873869245,0.25,9.0,TCGA-LUAD
KNN,0.5226848974518334,249.78242614389944,0.05,1.0,TCGA-LUAD
KNN,0.5308027380211574,292.6178325229822,0.1,4.0,TCGA-LUAD
KNN,0.5242036619011788,237.42543352443607,0.25,1.0,TCGA-LUAD
KNN,0.530188679245283,222.0585751484625,0.05,9.0,TCGA-LUAD
KNN,0.5685905872031084,313.9511668260616,0.5,1.0,TCGA-LUAD
KNN,0.5329243865798698,239.8285446307761,0.25,5.0,TCGA-LUAD
KNN,0.5260065016254063,207.1736178528276,0.25,8.0,TCGA-LUAD
KNN,0.493953488372093,212.0489977511015,0.1,7.0,TCGA-LUAD
KNN,0.5377358490566038,134.35893796670453,0.01,9.0,TCGA-LUAD
KNN,0.5061652281134402,192.15979870700272,0.05,8.0,TCGA-LUAD
KNN,0.4938271604938271,410.4207735914284,0.01,8.0,TCGA-LUAD
KNN,0.5402973884793203,273.17911613588774,0.25,7.0,TCGA-LUAD
KNN,0.4890965732087227,426.0209313918998,0.01,5.0,TCGA-LUAD
KNN,0.5313964386129335,300.15966886013945,0.1,2.0,TCGA-LUAD
KNN,0.5258186397984886,254.54140868745048,0.05,5.0,TCGA-LUAD
KNN,0.5669315782938036,301.8084717259697,0.5,5.0,TCGA-LUAD
KNN,0.5336239103362391,231.8603388951827,0.1,8.0,TCGA-LUAD
KNN,0.5124487866372518,289.32727492699985,0.1,1.0,TCGA-LUAD
KNN,0.5078369905956113,205.9878148875341,0.01,1.0,TCGA-LUAD
KNN,0.5695086885860733,289.0160292897415,0.5,0.0,TCGA-LUAD
KNN,0.5223880597014925,79.91823182737174,0.01,3.0,TCGA-LUAD
KNN,0.5220633934120572,181.98009997998352,0.1,5.0,TCGA-LUAD
KNN,0.5032946344524631,150.2171527275527,0.1,9.0,TCGA-LUAD
KNN,0.5512182993535555,234.15695803032352,0.25,3.0,TCGA-LUAD
KNN,0.51125,154.056954270014,0.05,6.0,TCGA-LUAD
AutoComplete,0.4638759689922481,2405.310714115573,0.1,7.0,TCGA-LUAD
AutoComplete,0.4657414353588397,2912.07403989918,0.25,8.0,TCGA-LUAD
AutoComplete,0.4688965301656768,2312.1958317766803,0.1,0.0,TCGA-LUAD
AutoComplete,0.4685534591194968,805.5696690355511,0.01,9.0,TCGA-LUAD
AutoComplete,0.476072094468614,1873.9618293145484,0.1,5.0,TCGA-LUAD
AutoComplete,0.4790382244143033,1754.253466070738,0.05,8.0,TCGA-LUAD
AutoComplete,0.4734161490683229,2222.056675361147,0.5,4.0,TCGA-LUAD
AutoComplete,0.4873378628783199,1738.3312100465023,0.05,2.0,TCGA-LUAD
AutoComplete,0.4598765432098765,2077.7105896230573,0.01,8.0,TCGA-LUAD
AutoComplete,0.4750718480569786,2403.698010987136,0.25,7.0,TCGA-LUAD
AutoComplete,0.4783780396089245,2718.970246627412,0.5,6.0,TCGA-LUAD
AutoComplete,0.4756097560975609,2388.840233951279,0.1,6.0,TCGA-LUAD
AutoComplete,0.5109717868338558,884.460708518155,0.01,1.0,TCGA-LUAD
AutoComplete,0.3956386292834891,1213.225592167731,0.01,5.0,TCGA-LUAD
AutoComplete,0.4730277517929529,2610.9741604740807,0.1,3.0,TCGA-LUAD
AutoComplete,0.4798500468603561,2369.1809799626267,0.1,2.0,TCGA-LUAD
AutoComplete,0.4489164086687306,884.223406178327,0.01,2.0,TCGA-LUAD
AutoComplete,0.5006188118811881,2207.835502952605,0.05,0.0,TCGA-LUAD
AutoComplete,0.4817380352644836,1758.628434882682,0.05,5.0,TCGA-LUAD
AutoComplete,0.4783689706613625,3014.6257312675534,0.25,3.0,TCGA-LUAD
AutoComplete,0.484415745684838,2231.517723451206,0.5,5.0,TCGA-LUAD
AutoComplete,0.4858199753390875,1965.269111613505,0.05,4.0,TCGA-LUAD
AutoComplete,0.4683265048849669,3244.992314544864,0.1,1.0,TCGA-LUAD
AutoComplete,0.4474474474474474,2019.617007444247,0.01,0.0,TCGA-LUAD
AutoComplete,0.4739729443301539,2406.258374835332,0.5,3.0,TCGA-LUAD
AutoComplete,0.471957936905358,3508.787278835244,0.25,5.0,TCGA-LUAD
AutoComplete,0.4492307692307692,2162.027365043401,0.01,4.0,TCGA-LUAD
AutoComplete,0.475093399750934,2525.558773859991,0.1,8.0,TCGA-LUAD
AutoComplete,0.4695046054269355,2715.744710781564,0.25,6.0,TCGA-LUAD
AutoComplete,0.4674668351231838,1390.0391742034603,0.05,7.0,TCGA-LUAD
AutoComplete,0.5062111801242236,2566.822801937444,0.01,7.0,TCGA-LUAD
AutoComplete,0.4567164179104477,272.2595856531043,0.01,3.0,TCGA-LUAD
AutoComplete,0.4722601464564974,2742.211532916522,0.25,9.0,TCGA-LUAD
AutoComplete,0.4828726523990765,2804.952090623865,0.5,2.0,TCGA-LUAD
AutoComplete,0.4853946550652579,2344.773594814509,0.05,1.0,TCGA-LUAD
AutoComplete,0.4737998117351741,2218.2392151916893,0.1,9.0,TCGA-LUAD
AutoComplete,0.4869321717485999,2462.9450306504928,0.1,4.0,TCGA-LUAD
AutoComplete,0.4809494066208619,1680.6260628619334,0.05,3.0,TCGA-LUAD
AutoComplete,0.480140113842497,2287.60832095694,0.5,8.0,TCGA-LUAD
AutoComplete,0.4789022941801588,2665.235818173723,0.5,7.0,TCGA-LUAD
AutoComplete,0.4774971871483935,2736.145265781576,0.5,0.0,TCGA-LUAD
AutoComplete,0.4811120807879316,2209.913932181168,0.25,2.0,TCGA-LUAD
AutoComplete,0.4706546275395034,2982.270532496356,0.25,1.0,TCGA-LUAD
AutoComplete,0.4742138364779874,2697.1032733069947,0.05,9.0,TCGA-LUAD
AutoComplete,0.4774057014813893,2518.792099645646,0.5,9.0,TCGA-LUAD
AutoComplete,0.475625,1754.8303399542324,0.05,6.0,TCGA-LUAD
AutoComplete,0.4749639656577051,2399.2398651237504,0.5,1.0,TCGA-LUAD
AutoComplete,0.4736317167435482,2139.4653411658232,0.25,4.0,TCGA-LUAD
AutoComplete,0.4873417721518987,819.2423448423282,0.01,6.0,TCGA-LUAD
AutoComplete,0.466359332170446,2425.814738156481,0.25,0.0,TCGA-LUAD
POME,0.8828089375284998,159.4398201307149,0.05,4.0,HANCOCK
POME,0.8695412337960835,177.63669985006905,0.25,1.0,HANCOCK
POME,0.8822170900692841,182.81082771208384,0.01,7.0,HANCOCK
POME,0.8843822843822844,158.8105686489395,0.05,1.0,HANCOCK
POME,0.8678635713296718,181.6826133668812,0.5,2.0,HANCOCK
POME,0.8960532354290959,167.7403313053412,0.1,4.0,HANCOCK
POME,0.8675367953346292,195.8533318168371,0.5,7.0,HANCOCK
POME,0.8538602941176471,160.34338425551778,0.05,3.0,HANCOCK
POME,0.8779855582299574,180.96854464278056,0.25,2.0,HANCOCK
POME,0.8726937269372693,123.6132882356784,0.05,7.0,HANCOCK
POME,0.8829938417811464,132.93509941579083,0.05,9.0,HANCOCK
POME,0.8638155758615891,179.9948608571939,0.5,1.0,HANCOCK
POME,0.8655162842339008,174.6766765950231,0.5,9.0,HANCOCK
POME,0.8764211110084111,173.7770770317953,0.25,5.0,HANCOCK
POME,0.859122401847575,166.92513614861508,0.01,6.0,HANCOCK
POME,0.8597049331489166,178.26411209588989,0.5,3.0,HANCOCK
POME,0.8888478922608616,173.61414703993137,0.25,9.0,HANCOCK
POME,0.9059633027522936,139.30362537410318,0.01,4.0,HANCOCK
POME,0.881023749135347,154.13248608297104,0.1,6.0,HANCOCK
POME,0.88673213062343,161.8564302068848,0.1,1.0,HANCOCK
POME,0.8814890079438389,180.04167405977864,0.25,0.0,HANCOCK
POME,0.8763962644204358,172.17480982314424,0.25,3.0,HANCOCK
POME,0.8741092636579573,179.16028180647558,0.01,1.0,HANCOCK
POME,0.8687782805429864,266.30662249192494,0.01,2.0,HANCOCK
POME,0.8909049150206706,164.35897258641427,0.1,5.0,HANCOCK
POME,0.8680555555555556,172.59750711831407,0.05,2.0,HANCOCK
POME,0.8917647058823529,161.230672552753,0.05,6.0,HANCOCK
POME,0.8838900249943195,162.71835272377183,0.1,8.0,HANCOCK
POME,0.8763796909492274,148.50894204843044,0.01,0.0,HANCOCK
POME,0.8638945694160418,200.61104258919408,0.1,9.0,HANCOCK
POME,0.8576244573750809,173.18160105773245,0.5,8.0,HANCOCK
POME,0.891647855530474,200.15562589373684,0.01,3.0,HANCOCK
POME,0.8772420218961099,169.78070237123856,0.1,7.0,HANCOCK
POME,0.8784132841328414,168.61530103363066,0.25,6.0,HANCOCK
POME,0.8729762235174392,178.90540977036565,0.25,8.0,HANCOCK
POME,0.8669275028768699,186.37408570955253,0.5,0.0,HANCOCK
POME,0.8601244965214208,174.17384296230532,0.5,6.0,HANCOCK
POME,0.8756404285048905,182.8843345339155,0.05,5.0,HANCOCK
POME,0.8764200609587143,179.41323818494843,0.25,4.0,HANCOCK
POME,0.8687728387066932,174.72109199664834,0.5,4.0,HANCOCK
POME,0.8658731975280385,167.49032504722504,0.1,3.0,HANCOCK
POME,0.8752886836027713,159.53738199174057,0.01,9.0,HANCOCK
POME,0.8869158878504673,139.49307092411058,0.05,8.0,HANCOCK
POME,0.8775320139697322,177.04284927710543,0.1,2.0,HANCOCK
POME,0.8855140186915887,193.7309915658307,0.01,8.0,HANCOCK
POME,0.8867667121418826,146.9168307332466,0.1,0.0,HANCOCK
POME,0.8804597701149425,174.20894915554214,0.25,7.0,HANCOCK
POME,0.8231132075471698,187.21820519433425,0.01,5.0,HANCOCK
POME,0.8659454374412041,178.2832138002548,0.05,0.0,HANCOCK
POME,0.8695732581256647,178.6298449229059,0.5,5.0,HANCOCK
MissForest,0.8729792147806005,125.2879968556646,0.01,7.0,HANCOCK
MissForest,0.8066037735849056,145.20665297858284,0.01,5.0,HANCOCK
MissForest,0.8692660550458715,106.9649501082278,0.01,4.0,HANCOCK
MissForest,0.8696614703440642,150.07372759981936,0.25,9.0,HANCOCK
MissForest,0.8618495796409907,141.90707780641654,0.1,8.0,HANCOCK
MissForest,0.8585488670176241,134.19656894756497,0.1,3.0,HANCOCK
MissForest,0.8551068883610451,134.92211949401866,0.01,1.0,HANCOCK
MissForest,0.867619926199262,96.46183886626224,0.05,7.0,HANCOCK
MissForest,0.8634987188446308,137.08746838334656,0.1,7.0,HANCOCK
MissForest,0.8535506402793946,156.51545233362089,0.1,2.0,HANCOCK
MissForest,0.8609211126310989,129.51166300635313,0.05,4.0,HANCOCK
MissForest,0.8606038189467844,162.5726031099302,0.5,5.0,HANCOCK
MissForest,0.873589164785553,132.5820148176368,0.01,3.0,HANCOCK
MissForest,0.8635737253100597,144.85885397960132,0.1,5.0,HANCOCK
MissForest,0.8596564145192575,157.51901790961188,0.5,8.0,HANCOCK
MissForest,0.8588957055214724,170.17001221576763,0.1,9.0,HANCOCK
MissForest,0.8712962962962963,143.05133821787655,0.05,2.0,HANCOCK
MissForest,0.8630647414997671,147.95474154755868,0.05,5.0,HANCOCK
MissForest,0.8583529411764705,130.52034441405695,0.05,6.0,HANCOCK
MissForest,0.8405456255879586,145.94065448360718,0.05,0.0,HANCOCK
MissForest,0.8631346578366446,112.11017412713043,0.01,0.0,HANCOCK
MissForest,0.8586715867158672,143.00205044089483,0.25,6.0,HANCOCK
MissForest,0.8606636820971985,155.54722865975071,0.5,2.0,HANCOCK
MissForest,0.8595752471622117,155.8751163053671,0.5,6.0,HANCOCK
MissForest,0.8652680652680653,130.556039612893,0.05,1.0,HANCOCK
MissForest,0.8566009806642613,154.49724077681654,0.25,8.0,HANCOCK
MissForest,0.8452655889145496,127.60765797319291,0.01,9.0,HANCOCK
MissForest,0.8575051879179156,127.48246185136696,0.1,6.0,HANCOCK
MissForest,0.861542002301496,157.4997913417377,0.5,0.0,HANCOCK
MissForest,0.8605348086675888,160.8874264078191,0.5,3.0,HANCOCK
MissForest,0.8583447021373352,123.54283188159536,0.1,0.0,HANCOCK
MissForest,0.8614318706697459,122.35573446943182,0.01,6.0,HANCOCK
MissForest,0.858582124041039,147.61043624455124,0.25,5.0,HANCOCK
MissForest,0.8588583040827638,156.30378828329515,0.25,0.0,HANCOCK
MissForest,0.8677570093457944,114.50501380871698,0.05,8.0,HANCOCK
MissForest,0.8596409852033954,162.53746189542295,0.5,1.0,HANCOCK
MissForest,0.8582248083494967,160.9587632130175,0.25,4.0,HANCOCK
MissForest,0.8610751295336787,155.35011272235238,0.5,9.0,HANCOCK
MissForest,0.8465182378019895,115.99230665531746,0.05,9.0,HANCOCK
MissForest,0.8588278828807993,153.61585503656377,0.5,4.0,HANCOCK
MissForest,0.858081836696908,159.7891180651106,0.25,2.0,HANCOCK
MissForest,0.8584168428794704,154.05375369641794,0.25,1.0,HANCOCK
MissForest,0.8714953271028038,157.49394120723218,0.01,8.0,HANCOCK
MissForest,0.8587255081486908,148.4304274706707,0.25,3.0,HANCOCK
MissForest,0.8606405628066278,156.84560878873356,0.5,7.0,HANCOCK
MissForest,0.8570772058823529,125.44873504603456,0.05,3.0,HANCOCK
MissForest,0.8552036199095022,204.30873492817045,0.01,2.0,HANCOCK
MissForest,0.867370353373107,149.20352301694626,0.1,4.0,HANCOCK
MissForest,0.8609655172413793,151.6693642557709,0.25,7.0,HANCOCK
MissForest,0.8666362183146837,139.33195560229848,0.1,1.0,HANCOCK
KNN,0.8550925925925926,130.63773140894125,0.05,2.0,HANCOCK
KNN,0.8467852257181943,109.29462768711346,0.05,4.0,HANCOCK
KNN,0.8619909502262444,167.30663787316243,0.01,2.0,HANCOCK
KNN,0.8371987266939518,120.18800470582508,0.1,0.0,HANCOCK
KNN,0.8454746136865342,77.75124893153043,0.01,0.0,HANCOCK
KNN,0.8466334164588528,198.237808035134,0.5,8.0,HANCOCK
KNN,0.8254938852304797,148.8510469328156,0.05,0.0,HANCOCK
KNN,0.8309963099630996,169.6402965836985,0.25,6.0,HANCOCK
KNN,0.8577981651376146,57.069740021885615,0.01,4.0,HANCOCK
KNN,0.8388647287708858,131.17748105031262,0.1,3.0,HANCOCK
KNN,0.8706697459584296,122.22922846277488,0.01,7.0,HANCOCK
KNN,0.8499561545206997,185.21663903858428,0.5,2.0,HANCOCK
KNN,0.8363970588235294,117.77155747799496,0.05,3.0,HANCOCK
KNN,0.8434181618454778,183.8351752139997,0.5,6.0,HANCOCK
KNN,0.8344725660447072,187.5072435497552,0.25,0.0,HANCOCK
KNN,0.8468726868985936,190.83813905217448,0.5,9.0,HANCOCK
KNN,0.8505481289606365,190.96458964544505,0.5,4.0,HANCOCK
KNN,0.8406466512702079,87.26279465610449,0.01,6.0,HANCOCK
KNN,0.8466682038275305,128.94286381832822,0.1,6.0,HANCOCK
KNN,0.829938900203666,181.24910520593463,0.25,2.0,HANCOCK
KNN,0.8328253440472891,205.282089483045,0.25,4.0,HANCOCK
KNN,0.8465703971119134,192.3089635550728,0.5,7.0,HANCOCK
KNN,0.851959428307976,204.30031042398247,0.5,3.0,HANCOCK
KNN,0.8556273062730627,83.93539924563788,0.05,7.0,HANCOCK
KNN,0.8400516557513145,193.1139568336091,0.25,9.0,HANCOCK
KNN,0.84009324009324,113.4904852911117,0.05,1.0,HANCOCK
KNN,0.8382285452042221,158.30153003330952,0.1,4.0,HANCOCK
KNN,0.837179369311391,177.21539853345627,0.25,1.0,HANCOCK
KNN,0.8389388915206063,112.71932577578332,0.05,9.0,HANCOCK
KNN,0.842154088779628,194.02991603811464,0.5,1.0,HANCOCK
KNN,0.8313152786764026,174.65256196381762,0.25,5.0,HANCOCK
KNN,0.8376353039134055,179.58405983217645,0.25,8.0,HANCOCK
KNN,0.8513859771721407,131.3149289890086,0.1,7.0,HANCOCK
KNN,0.8314087759815243,91.04006052645244,0.01,9.0,HANCOCK
KNN,0.8509345794392523,108.3915021669248,0.05,8.0,HANCOCK
KNN,0.8317757009345794,129.53736717102646,0.01,8.0,HANCOCK
KNN,0.833287356321839,185.10806903489456,0.25,7.0,HANCOCK
KNN,0.8042452830188679,99.0703761737997,0.01,5.0,HANCOCK
KNN,0.839813736903376,133.3470028409285,0.1,2.0,HANCOCK
KNN,0.8407079646017699,119.00444185160173,0.05,5.0,HANCOCK
KNN,0.8462249757270331,186.58714224029688,0.5,5.0,HANCOCK
KNN,0.8357191547375596,151.13906814385044,0.1,8.0,HANCOCK
KNN,0.833980360812971,139.54106479434327,0.1,1.0,HANCOCK
KNN,0.8551068883610451,108.92310480469048,0.01,1.0,HANCOCK
KNN,0.8466743383199079,202.5250406469031,0.5,0.0,HANCOCK
KNN,0.8419864559819413,128.70357906436467,0.01,3.0,HANCOCK
KNN,0.8422140560404227,138.7202521226166,0.1,5.0,HANCOCK
KNN,0.8429902294932969,177.21952302334253,0.1,9.0,HANCOCK
KNN,0.8351950192272477,158.2811323036416,0.25,3.0,HANCOCK
KNN,0.848,142.0333264411239,0.05,6.0,HANCOCK
AutoComplete,0.8509201024924296,185.1809960923326,0.1,7.0,HANCOCK
AutoComplete,0.8421685632343417,197.44222680230155,0.25,8.0,HANCOCK
AutoComplete,0.8483401546157344,166.7266992025667,0.1,0.0,HANCOCK
AutoComplete,0.8452655889145496,197.28416371478988,0.01,9.0,HANCOCK
AutoComplete,0.8509416628387689,188.4162407505173,0.1,5.0,HANCOCK
AutoComplete,0.852803738317757,170.71536207592945,0.05,8.0,HANCOCK
AutoComplete,0.8484666265784726,180.6862315765353,0.5,4.0,HANCOCK
AutoComplete,0.8587962962962963,199.6830582194642,0.05,2.0,HANCOCK
AutoComplete,0.852803738317757,283.0405067847224,0.01,8.0,HANCOCK
AutoComplete,0.8470804597701149,193.03315372170795,0.25,7.0,HANCOCK
AutoComplete,0.8425485170267302,207.750243015614,0.5,6.0,HANCOCK
AutoComplete,0.853124279455845,173.1347578961944,0.1,6.0,HANCOCK
AutoComplete,0.8527315914489311,188.6813831572016,0.01,1.0,HANCOCK
AutoComplete,0.8066037735849056,197.9037160266148,0.01,5.0,HANCOCK
AutoComplete,0.8461890592813001,197.5432055543025,0.1,3.0,HANCOCK
AutoComplete,0.8428405122235157,210.75030630511696,0.1,2.0,HANCOCK
AutoComplete,0.8416289592760181,288.1440141320394,0.01,2.0,HANCOCK
