Method,Target,Type,Score,Precision,Recall,F1
UMAP,Neutropenic Fever,AP,0.09416903238243765,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08162690734674047,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10391679097864517,0.0,0.0,0.0
Naive,Neutropenic Fever,AP,0.0512646793134598,-1.0,-1.0,-1.0
POME,Aplasia,AP,0.25735622497953414,0.0,0.0,0.0
UMAP,Aplasia,AP,0.34139638955105645,0.375,0.16853932584269662,0.23255813953488372
POME,Aplasia,AP,0.19881419023038724,0.0,0.0,0.0
UMAP,Aplasia,AP,0.3656114459240294,0.5714285714285714,0.16901408450704225,0.2608695652173913
POME,Aplasia,AP,0.34090624677069004,0.0,0.0,0.0
UMAP,Aplasia,AP,0.4097947595601136,0.5,0.24444444444444444,0.3283582089552239
POME,Aplasia,AP,0.42381204077207213,0.0,0.0,0.0
UMAP,Aplasia,AP,0.5060423928902045,0.6341463414634146,0.26804123711340205,0.37681159420289856
POME,Aplasia,AP,0.35663137120162264,0.0,0.0,0.0
UMAP,Aplasia,AP,0.564468465680405,0.625,0.3125,0.4166666666666667
POME,Aplasia,AP,0.47291813274888694,0.0,0.0,0.0
UMAP,Aplasia,AP,0.6234314274872398,0.7333333333333333,0.23741007194244604,0.358695652173913
POME,Aplasia,AP,0.37678439759396687,0.0,0.0,0.0
UMAP,Aplasia,AP,0.408504226606052,0.52,0.16049382716049382,0.24528301886792453
POME,Aplasia,AP,0.3217422584534392,0.0,0.0,0.0
UMAP,Aplasia,AP,0.419439331744502,0.5555555555555556,0.25,0.3448275862068966
POME,Aplasia,AP,0.3111106864399849,0.0,0.0,0.0
UMAP,Aplasia,AP,0.48475171226633706,0.6764705882352942,0.25555555555555554,0.3709677419354839
POME,Aplasia,AP,0.40227896735136104,0.0,0.0,0.0
UMAP,Aplasia,AP,0.5394345037661519,0.6666666666666666,0.3111111111111111,0.42424242424242425
Naive,Aplasia,AP,0.21205962059620595,-1.0,-1.0,-1.0
POME,Neutropenic Fever,AP,0.03581534862073651,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.04774382982484955,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.048762927556442126,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10643734434161337,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08459187032562443,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.16478844972860837,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.06424836066843571,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.1704516074787119,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.07985769807562994,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.21891559552118037,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.13741457913254557,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14648213890875017,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.13417988859500263,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.2095474177989335,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.10703428874157139,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14107423339869485,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.05010315425320204,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.0911946194856251,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.0846248376579333,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10515367794791032,0.0,0.0,0.0
Naive,Neutropenic Fever,AP,0.0512646793134598,-1.0,-1.0,-1.0
POME,Aplasia,AP,0.3112912062406308,0.25,0.011235955056179775,0.021505376344086023
UMAP,Aplasia,AP,0.33834336546221694,0.375,0.16853932584269662,0.23255813953488372
POME,Aplasia,AP,0.3101374954494366,1.0,0.014084507042253521,0.027777777777777776
UMAP,Aplasia,AP,0.3721898681600815,0.5909090909090909,0.18309859154929578,0.27956989247311825
POME,Aplasia,AP,0.40492816016964983,1.0,0.03333333333333333,0.06451612903225806
UMAP,Aplasia,AP,0.4049449607157316,0.5,0.24444444444444444,0.3283582089552239
